N	Accession	Gene_Symbol	Protein_Name	Unused
179	IPI00007047.1	S100A8	Protein S100-A8	2.00
180	IPI00744274.1	UBC;RPS27A;UBB	44 kDa protein	1.90
180	IPI00743650.1	UBC;RPS27A;UBB	44 kDa protein	0.00
180	IPI00794205.1	-	26 kDa protein	0.00
180	IPI00418813.2	-	CDNA FLJ46113 fis, clone TESTI2036285, highly similar to Rattus norvegicus ubiquitin C	0.00
180	IPI00873444.1	UBC;RPS27A;UBB	79 kDa protein	0.00
180	IPI00798155.3	UBC;RPS27A;UBB	Ubiquitin C splice variant	0.00
180	IPI00798127.1	UBC;RPS27A;UBB	ubiquitin C	0.00
180	IPI00797482.1	UBC;RPS27A;UBB	cDNA FLJ75516, highly similar to Xenopus tropicalis ubiquitin C, mRNA	0.00
180	IPI00797400.1	UBC;RPS27A;UBB	19 kDa protein	0.00
180	IPI00796600.1	UBC;RPS27A;UBB	18 kDa protein	0.00
180	IPI00796007.1	UBC;RPS27A;UBB	17 kDa protein	0.00
180	IPI00795527.1	UBC;RPS27A;UBB	21 kDa protein	0.00
180	IPI00794925.1	UBC;RPS27A;UBB	21 kDa protein	0.00
180	IPI00794211.1	UBC;RPS27A;UBB	18 kDa protein	0.00
180	IPI00793810.1	UBC;RPS27A;UBB	19 kDa protein	0.00
180	IPI00793729.1	UBC;RPS27A;UBB	UBC protein	0.00
180	IPI00793330.1	UBC;RPS27A;UBB	12 kDa protein	0.00
180	IPI00792712.1	UBC;RPS27A;UBB	39 kDa protein	0.00
180	IPI00790633.1	UBC;RPS27A;UBB	25 kDa protein	0.00
180	IPI00789823.1	UBC;RPS27A;UBB	16 kDa protein	0.00
180	IPI00789107.1	UBC;RPS27A;UBB	30 kDa protein	0.00
180	IPI00784990.2	UBC;RPS27A;UBB	Ubiquitin C splice variant	0.00
180	IPI00743241.1	UBC;RPS27A;UBB	44 kDa protein	0.00
180	IPI00719280.2	UBC;RPS27A;UBB	ubiquitin B precursor	0.00
180	IPI00456429.3	UBA52	ubiquitin and ribosomal protein L40 precursor	0.00
180	IPI00788210.1	LOC728590	similar to ribosomal protein S27a	0.00
180	IPI00397808.3	LOC388720	similar to ubiquitin and ribosomal protein S27a precursor	0.00
180	IPI00179330.6	UBC;RPS27A;UBB	ubiquitin and ribosomal protein S27a precursor	0.00
181	IPI00299738.1	PCOLCE	Procollagen C-endopeptidase enhancer 1 precursor	1.90
182	IPI00073442.7	C14orf73	SEC6-like protein C14orf73	1.83
183	IPI00646721.1	USP7	Ubiquitin carboxyl-terminal hydrolase	1.82
183	IPI00003965.4	USP7	Ubiquitin carboxyl-terminal hydrolase 7	0.00
184	IPI00479471.2	SPATA13	Spermatogenesis associated 13	1.77
184	IPI00043546.5	SPATA13	Spermatogenesis-associated protein 13	0.00
185	IPI00868938.1	-	Beta-2-microglobulin	1.76
185	IPI00796379.1	B2M	B2M protein	0.00
186	IPI00019359.3	KRT9	Keratin, type I cytoskeletal 9	1.72
187	IPI00169276.2	-	Trypsinogen C	1.71
188	IPI00021364.1	CFP	Properdin precursor	1.71
189	IPI00005264.1	PKP2	Isoform 2 of Plakophilin-2	1.64
189	IPI00847318.1	PKP2	plakophilin 2 isoform 2a	0.00
189	IPI00219688.1	PKP2	Isoform 1 of Plakophilin-2	0.00
190	IPI00641150.2	LAMA1	similar to laminin, alpha 1 precursor	1.57
190	IPI00375294.2	LAMA1	Laminin subunit alpha-1 precursor	0.00
191	IPI00827702.1	FCHSD2	Isoform 1 of FCH and double SH3 domains protein 2	1.57
191	IPI00410639.6	FCHSD2	Isoform 2 of FCH and double SH3 domains protein 2	0.00
192	IPI00477245.3	LRRCC1	sodium channel associated protein 2 isoform a	1.54
192	IPI00807727.1	LRRCC1	sodium channel associated protein 2 isoform b	0.00
193	IPI00172480.5	WDR35	Isoform 2 of WD repeat-containing protein 35	1.53
193	IPI00165984.4	WDR35	Isoform 1 of WD repeat-containing protein 35	0.00
194	IPI00033153.1	NXF1	Nuclear RNA export factor 1	1.52
194	IPI00749024.2	NXF1	nuclear RNA export factor 1 isoform 2	0.00
195	IPI00644231.3	CYFIP1	Isoform 1 of Cytoplasmic FMR1-interacting protein 1	1.41
196	IPI00784842.1	IGHV4-31	Putative uncharacterized protein DKFZp686G11190	1.40
196	IPI00816775.1	-	F5-20 (Fragment)	0.00
197	IPI00019489.1	GPR19	Probable G-protein coupled receptor 19	1.40
198	IPI00165026.3	SETD3	Isoform 1 of SET domain-containing protein 3	1.40
199	IPI00426283.2	MAPK7	Mitogen activated protein kinase 7 transcript variant 5	1.35
199	IPI00555640.2	MAPK7	Mitogen activated protein kinase 7 transcript variant 5 variant	0.00
200	IPI00217047.4	SPTBN4	Isoform 3 of Spectrin beta chain, brain 3	1.33
200	IPI00018829.2	SPTBN4	Isoform 1 of Spectrin beta chain, brain 3	0.00
200	IPI00217048.1	SPTBN4	Isoform 4 of Spectrin beta chain, brain 3	0.00
201	IPI00013988.1	ARHGAP5	Rho GTPase-activating protein 5	1.31
201	IPI00646885.1	ARHGAP5	Rho GTPase activating protein 5 isoform a	0.00
202	IPI00014371.1	CDH18	Cadherin-18 precursor	1.30
203	IPI00643027.1	LARP1	Isoform 2 of La-related protein 1	1.25
204	IPI00642716.4	MYH7B	myosin, heavy polypeptide 7B, cardiac muscle, beta	1.24
205	IPI00383776.1	FN1	Fibronectin (Fragment)	1.22
206	IPI00552838.1	RC3H2	Isoform 2 of Ring finger and CCCH-type zinc finger domain-containing protein 2	1.22
207	IPI00299158.1	PVR	Isoform Alpha of Poliovirus receptor precursor	1.22
207	IPI00219427.1	PVR	Isoform Delta of Poliovirus receptor precursor	0.00
207	IPI00219426.1	PVR	Isoform Gamma of Poliovirus receptor precursor	0.00
207	IPI00219425.3	PVR	Isoform Beta of Poliovirus receptor precursor	0.00
208	IPI00657860.1	BST1	Uncharacterized protein BST1	1.22
208	IPI00026240.2	BST1	ADP-ribosyl cyclase 2 precursor	0.00
209	IPI00792372.1	GRAP	Uncharacterized protein GRAP	1.21
209	IPI00013864.1	GRAP	GRB2-related adapter protein	0.00
210	IPI00872063.1	PEPD	Uncharacterized protein PEPD (Fragment)	1.16
210	IPI00257882.7	PEPD	Xaa-Pro dipeptidase	0.00
211	IPI00470652.1	-	Single-chain Fv (Fragment)	1.07
212	IPI00104907.3	C14orf106	Isoform 1 of Uncharacterized potential DNA-binding protein C14orf106	1.07
213	IPI00872759.1	MLL2	564 kDa protein	1.06
214	IPI00217421.1	PIGO	Isoform 1 of GPI ethanolamine phosphate transferase 3	1.06
214	IPI00181620.3	PIGO	Isoform 2 of GPI ethanolamine phosphate transferase 3	0.00
215	IPI00032087.4	DIP2C	Disco-interacting protein 2 homolog C	1.06
216	IPI00876888.1	-	cDNA FLJ78387	1.05
217	IPI00440577.3	IGKV2-24	IGKV2-24 protein	1.05
218	IPI00158296.4	KIAA0564	hypothetical protein LOC23078 isoform a	1.05
219	IPI00395602.5	STAC2	Isoform 1 of SH3 and cysteine-rich domain-containing protein 2	1.05
220	IPI00221235.3	NUP160	nucleoporin 160kDa	1.02
221	IPI00884080.1	-	Similar to Immunglobulin heavy chain variable region	1.01
222	IPI00006684.3	API5	58 kDa protein	1.00
223	IPI00793949.2	MARCH10	Probable E3 ubiquitin-protein ligase MARCH10	1.00
224	IPI00642378.2	LASS2	cDNA FLJ75329, highly similar to Homo sapiens LAG1 longevity assurance homolog 2 (S. cerevisiae), transcript variant 2, mRNA	1.00
224	IPI00305304.3	LASS2	LAG1 longevity assurance homolog 2	0.00
225	IPI00177820.3	SLC14A2	Urea transporter, kidney	1.00
226	IPI00655641.1	SUPT5H	Isoform 2 of Transcription elongation factor SPT5	0.97
226	IPI00298058.1	SUPT5H	Isoform 1 of Transcription elongation factor SPT5	0.00
227	IPI00291136.4	COL6A1	Collagen alpha-1(VI) chain precursor	0.97
228	IPI00852828.1	FEZF1	Isoform 3 of Fez family zinc finger protein 1	0.96
228	IPI00376675.5	FEZF1	Isoform 1 of Fez family zinc finger protein 1	0.00
229	IPI00004416.1	CHMP2A	Charged multivesicular body protein 2a	0.96
230	IPI00845359.1	CCDC73	Isoform 2 of Coiled-coil domain-containing protein 73	0.95
231	IPI00854767.1	LOC729269	similar to Protein MICAL-3	0.94
232	IPI00852880.1	SYNPO2L	synaptopodin 2-like isoform a	0.92
233	IPI00872107.1	ILF2	Interleukin enhancer binding factor 2 variant (Fragment)	0.92
233	IPI00005198.2	ILF2	Interleukin enhancer-binding factor 2	0.00
234	IPI00877862.1	-	27 kDa protein	0.92
235	IPI00479018.2	SDCBP	Syntenin isoform 3	0.92
235	IPI00478874.1	SDCBP	syntenin isoform 2	0.00
235	IPI00299086.3	SDCBP	Syntenin-1	0.00
236	IPI00332192.4	IL25	Isoform 2 of Interleukin-25 precursor	0.92
236	IPI00009731.1	IL25	Isoform 1 of Interleukin-25 precursor	0.00
237	IPI00021856.3	APOC2	Apolipoprotein C-II precursor	0.92
238	IPI00792333.2	IBTK	Isoform 1 of Inhibitor of Bruton tyrosine kinase	0.89
239	IPI00053621.7	ZNF99	zinc finger protein 99	0.89
240	IPI00398768.1	ARG1	Isoform 2 of Arginase-1	0.89
240	IPI00291560.4	ARG1	Isoform 1 of Arginase-1	0.00
240	IPI00038356.4	ARG1	Isoform 3 of Arginase-1	0.00
241	IPI00007811.1	CDK4	Cell division protein kinase 4	0.88
242	IPI00022465.3	CIT	Isoform 1 of Citron Rho-interacting kinase	0.87
243	IPI00215877.2	APC	Isoform Short of Adenomatous polyposis coli protein	0.87
243	IPI00012391.3	APC	Isoform Long of Adenomatous polyposis coli protein	0.00
244	IPI00430820.1	IGKV1-5	IGKV1-5 protein	0.86
245	IPI00642259.2	DST	Dystonin	0.86
246	IPI00398758.1	DCI	Isoform 2 of 3,2-trans-enoyl-CoA isomerase, mitochondrial precursor	0.86
246	IPI00300567.1	DCI	Isoform 1 of 3,2-trans-enoyl-CoA isomerase, mitochondrial precursor	0.00
247	IPI00025564.2	NLN	NLN protein	0.82
248	IPI00218820.1	TPM2	Isoform 3 of Tropomyosin beta chain	0.82
249	IPI00215700.1	NPR3	Isoform 2 of Atrial natriuretic peptide clearance receptor precursor	0.82
249	IPI00013826.2	NPR3	Isoform 1 of Atrial natriuretic peptide clearance receptor precursor	0.00
250	IPI00011695.8	PRSS2	Protease serine 2 isoform B	0.81
251	IPI00337744.1	SCN8A	Isoform 3 of Sodium channel protein type 8 subunit alpha	0.81
251	IPI00337743.1	SCN8A	Isoform 2 of Sodium channel protein type 8 subunit alpha	0.00
251	IPI00183041.1	SCN8A	Isoform 1 of Sodium channel protein type 8 subunit alpha	0.00
252	IPI00221389.2	AFF2	Isoform 2 of AF4/FMR2 family member 2	0.81
252	IPI00178914.3	AFF2	Isoform 3 of AF4/FMR2 family member 2	0.00
252	IPI00020903.4	AFF2	Isoform 1 of AF4/FMR2 family member 2	0.00
253	IPI00297646.4	COL1A1	Collagen alpha-1(I) chain precursor	0.81
254	IPI00745207.1	B3GNT2	45 kDa protein	0.80
254	IPI00257239.1	B3GNT2	Isoform 1 of UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	0.00
254	IPI00217345.1	B3GNT2	Isoform 2 of UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	0.00
255	IPI00759728.1	SIAE	Isoform 2 of Sialate O-acetylesterase precursor	0.80
255	IPI00010949.3	SIAE	Isoform 1 of Sialate O-acetylesterase precursor	0.00
256	IPI00640784.1	WDR90	WD repeat protein 90	0.78
257	IPI00884309.1	JAKMIP2	JAKMIP2 protein	0.77
257	IPI00867585.1	JAKMIP2	Isoform 3 of Janus kinase and microtubule-interacting protein 2	0.00
257	IPI00479428.3	JAKMIP2	Isoform 2 of Janus kinase and microtubule-interacting protein 2	0.00
257	IPI00059369.1	JAKMIP2	Isoform 1 of Janus kinase and microtubule-interacting protein 2	0.00
258	IPI00031411.3	FAT	Cadherin-related tumor suppressor homolog precursor	0.76
259	IPI00045550.4	PPP1R9B	protein phosphatase 1, regulatory subunit 9B	0.75
260	IPI00384013.5	GALNTL2	Polypeptide N-acetylgalactosaminyltransferase-like protein 2	0.74
261	IPI00816612.1	F2	Prothrombin (Fragment)	0.72
262	IPI00218414.5	CA2	Carbonic anhydrase 2	0.72
263	IPI00426728.3	MBD4	Isoform 2 of Methyl-CpG-binding domain protein 4	0.70
264	IPI00873123.1	NEB	nebulin	0.70
