"N"	"Accession"	"Gene_Symbol"	"Protein_Name"
"302"	130	"IPI:IPI00387027.1"	"-"	"Ig kappa chain V-I region Gal"
"303"	130	"IPI:IPI00387101.1"	"-"	"Ig kappa chain V-I region Scw"
"304"	130	"IPI:IPI00387100.1"	"-"	"Ig kappa chain V-I region Roy"
"305"	130	"IPI:IPI00382577.1"	"-"	"Kappa 1 light chain variable region (Fragment)"
"306"	130	"IPI:IPI00003111.6"	"LOC652694"	"Ig kappa chain V-I region AU"
"307"	131	"IPI:IPI00645363.2"	"IGHG1"	"Putative uncharacterized protein DKFZp686P15220"
"308"	131	"IPI:IPI00829601.1"	"-"	"Similar to Immunglobulin heavy chain variable region"
"309"	131	"IPI:IPI00163446.3"	"IGHD"	"IGHD protein"
"310"	131	"IPI:IPI00854743.1"	"-"	"Uncharacterized protein ENSP00000375034"
"311"	132	"IPI:IPI00025204.1"	"CD5L"	"CD5 antigen-like precursor"
"312"	133	"IPI:IPI00884176.1"	"F13A1"	"coagulation factor XIII A1 subunit precursor"
"313"	133	"IPI:IPI00297550.8"	"F13A1"	"Coagulation factor XIII A chain precursor"
"314"	134	"IPI:IPI00878609.1"	"ITIH4"	"Protein"
"315"	134	"IPI:IPI00878152.1"	"ITIH4"	"71 kDa protein"
"316"	135	"IPI:IPI00456484.3"	"PDE4DIP"	"Isoform 3 of Myomegalin"
"317"	135	"IPI:IPI00642902.1"	"PDE4DIP"	"Isoform 4 of Myomegalin"
"318"	135	"IPI:IPI00470939.4"	"PDE4DIP"	"Isoform 1 of Myomegalin"
"319"	135	"IPI:IPI00376888.8"	"PDE4DIP"	"Isoform 9 of Myomegalin"
"320"	135	"IPI:IPI00401276.6"	"PDE4DIP"	"Isoform 7 of Myomegalin"
"321"	135	"IPI:IPI00643207.1"	"PDE4DIP"	"Isoform 6 of Myomegalin"
"322"	135	"IPI:IPI00337544.7"	"PDE4DIP"	"Isoform 2 of Myomegalin"
"323"	135	"IPI:IPI00788118.1"	"LOC727942"	"similar to phosphodiesterase 4D interacting protein isoform 2"
"324"	136	"IPI:IPI00853068.1"	"HBA2;HBA1"	"Alpha 2 globin variant (Fragment)"
"325"	136	"IPI:IPI00410714.5"	"HBA2;HBA1"	"Hemoglobin subunit alpha"
"326"	137	"IPI:IPI00844400.1"	"C1QA"	"23 kDa protein"
"327"	137	"IPI:IPI00022392.1"	"C1QA"	"Complement C1q subcomponent subunit A precursor"
"328"	138	"IPI:IPI00219583.1"	"SHBG"	"Isoform 2 of Sex hormone-binding globulin precursor"
"329"	138	"IPI:IPI00023019.1"	"SHBG"	"Isoform 1 of Sex hormone-binding globulin precursor"
"330"	139	"IPI:IPI00022937.4"	"F5"	"Coagulation factor V"
"331"	139	"IPI:IPI00478809.3"	"F5"	"Coagulation factor V precursor"
"332"	140	"IPI:IPI00644296.1"	"TNXB"	"Tenascin XB"
"333"	140	"IPI:IPI00025276.1"	"TNXB"	"Isoform XB of Tenascin-X precursor"
"334"	140	"IPI:IPI00743248.5"	"TNXB"	"DJ34F7.1.1"
"335"	141	"IPI:IPI00073777.1"	"PLXDC2"	"Isoform 2 of Plexin domain-containing protein 2 precursor"
"336"	141	"IPI:IPI00044369.2"	"PLXDC2"	"Isoform 1 of Plexin domain-containing protein 2 precursor"
"337"	142	"IPI:IPI00290078.5"	"KRT4"	"keratin 4"
"338"	142	"IPI:IPI00300725.7"	"KRT6A"	"Keratin, type II cytoskeletal 6A"
"339"	142	"IPI:IPI00299145.9"	"KRT6C"	"Keratin, type II cytoskeletal 6C"
"340"	142	"IPI:IPI00293665.8"	"KRT6B"	"Keratin, type II cytoskeletal 6B"
"341"	142	"IPI:IPI00797452.1"	"KRT4"	"33 kDa protein"
"342"	142	"IPI:IPI00021304.1"	"KRT2"	"Keratin, type II cytoskeletal 2 epidermal"
"343"	142	"IPI:IPI00796330.1"	"KRT6A"	"18 kDa protein"
"344"	143	"IPI:IPI00796246.1"	"LGALS3BP"	"22 kDa protein"
"345"	143	"IPI:IPI00023673.1"	"LGALS3BP"	"Galectin-3-binding protein precursor"
"346"	143	"IPI:IPI00794873.1"	"LGALS3BP"	"16 kDa protein"
"347"	144	"IPI:IPI00003470.1"	"-"	"Ig kappa chain V-I region Wes"
"348"	144	"IPI:IPI00430847.1"	"IGKC"	"IGKC protein"
"349"	144	"IPI:IPI00829650.1"	"-"	"Similar to Ig kappa chain V-I region HK101 precursor"
"350"	145	"IPI:IPI00796435.1"	"CA1"	"22 kDa protein"
"351"	145	"IPI:IPI00215983.3"	"CA1"	"Carbonic anhydrase 1"
"352"	146	"IPI:IPI00479471.2"	"SPATA13"	"Spermatogenesis associated 13"
"353"	146	"IPI:IPI00043546.5"	"SPATA13"	"Spermatogenesis-associated protein 13"
"354"	147	"IPI:IPI00828192.1"	"CD44"	"Isoform 17 of CD44 antigen precursor"
"355"	147	"IPI:IPI00828117.1"	"CD44"	"Isoform 5 of CD44 antigen precursor"
"356"	147	"IPI:IPI00828064.1"	"CD44"	"Isoform 6 of CD44 antigen precursor"
"357"	147	"IPI:IPI00828056.1"	"CD44"	"Isoform 16 of CD44 antigen precursor"
"358"	147	"IPI:IPI00827658.1"	"CD44"	"Isoform 7 of CD44 antigen precursor"
"359"	147	"IPI:IPI00827650.1"	"CD44"	"Isoform 3 of CD44 antigen precursor"
"360"	147	"IPI:IPI00827555.1"	"CD44"	"Isoform 9 of CD44 antigen precursor"
"361"	147	"IPI:IPI00418465.4"	"CD44"	"Isoform 4 of CD44 antigen precursor"
"362"	147	"IPI:IPI00305064.1"	"CD44"	"Isoform CD44 of CD44 antigen precursor"
"363"	147	"IPI:IPI00827795.1"	"CD44"	"Isoform 8 of CD44 antigen precursor"
"364"	147	"IPI:IPI00827893.1"	"CD44"	"Isoform 11 of CD44 antigen precursor"
"365"	147	"IPI:IPI00419219.3"	"CD44"	"Isoform 10 of CD44 antigen precursor"
"366"	147	"IPI:IPI00828108.1"	"CD44"	"Isoform 15 of CD44 antigen precursor"
"367"	147	"IPI:IPI00827982.1"	"CD44"	"Isoform 13 of CD44 antigen precursor"
"368"	147	"IPI:IPI00827937.1"	"CD44"	"Isoform 14 of CD44 antigen precursor"
"369"	147	"IPI:IPI00798069.1"	"CD44"	"CD44 molecule"
"370"	147	"IPI:IPI00297160.4"	"CD44"	"Isoform 12 of CD44 antigen precursor"
"371"	148	"IPI:IPI00399007.5"	"IGHG2"	"Putative uncharacterized protein DKFZp686I04196 (Fragment)"
"372"	148	"IPI:IPI00829767.1"	"IGHG2"	"Uncharacterized protein IGHG2 (Fragment)"
"373"	148	"IPI:IPI00784942.1"	"-"	"Putative uncharacterized protein DKFZp686E23209"
"374"	148	"IPI:IPI00426051.3"	"-"	"Putative uncharacterized protein DKFZp686C15213"
"375"	148	"IPI:IPI00784807.1"	"-"	"Putative uncharacterized protein"
"376"	149	"IPI:IPI00004273.6"	"RBM25"	"RNA binding motif protein 25"
"377"	150	"IPI:IPI00021817.1"	"PROC"	"Vitamin K-dependent protein C precursor"
"378"	151	"IPI:IPI00643034.2"	"PLTP"	"Isoform 1 of Phospholipid transfer protein precursor"
"379"	151	"IPI:IPI00022733.3"	"PLTP"	"45 kDa protein"
"380"	151	"IPI:IPI00217778.1"	"PLTP"	"Isoform 2 of Phospholipid transfer protein precursor"
"381"	152	"IPI:IPI00855835.1"	"-"	"Insulin-like growth factor binding protein 3 isoform b"
"382"	152	"IPI:IPI00556155.2"	"IGFBP3"	"insulin-like growth factor binding protein 3 isoform a precursor"
"383"	152	"IPI:IPI00018305.4"	"IGFBP3"	"Insulin-like growth factor-binding protein 3 precursor"
"384"	152	"IPI:IPI00444386.3"	"IGFBP3"	"CDNA FLJ45630 fis, clone CHONS2001287, moderately similar to INSULIN- LIKE GROWTH FACTOR BINDING PROTEIN 3"
"385"	153	"IPI:IPI00026969.4"	"SEC23IP"	"Isoform 1 of SEC23-interacting protein"
"386"	154	"IPI:IPI00847179.1"	"APOA4"	"apolipoprotein A-IV precursor"
"387"	155	"IPI:IPI00061977.1"	"IGHV3OR16-13;IGHA1"	"IGHA1 protein"
"388"	155	"IPI:IPI00423462.5"	"IGHV3OR16-13;IGHA1"	"Putative uncharacterized protein DKFZp686K18196 (Fragment)"
"389"	155	"IPI:IPI00647704.1"	"IGHV3OR16-13;IGHA1"	"CDNA FLJ41552 fis, clone COLON2004478, highly similar to Protein Tro alpha1 H,myeloma"
"390"	155	"IPI:IPI00166866.3"	"IGHV3OR16-13;IGHA1"	"IGHA1 protein"
"391"	155	"IPI:IPI00386524.3"	"IGHV3OR16-13;IGHA1"	"CDNA FLJ25298 fis, clone STM07683, highly similar to Protein Tro alpha1 H,myeloma"
"392"	156	"IPI:IPI00879084.1"	"CP"	"20 kDa protein"
"393"	157	"IPI:IPI00423461.3"	"IGHA2"	"Putative uncharacterized protein DKFZp686C02220 (Fragment)"
"394"	158	"IPI:IPI00829711.1"	"IGHA2"	"Uncharacterized protein IGHA2 (Fragment)"
"395"	159	"IPI:IPI00871960.2"	"MASP1"	"cDNA FLJ75203, highly similar to Homo sapiens mannan-binding lectin serine protease 1 (C4/C2activating component of Ra-reactive factor) (MASP1), transcriptvariant 2, mRNA"
"396"	159	"IPI:IPI00290283.6"	"MASP1"	"mannan-binding lectin serine protease 1 isoform 2 precursor"
"397"	159	"IPI:IPI00871139.1"	"MASP1"	"92 kDa protein"
"398"	159	"IPI:IPI00299307.4"	"MASP1"	"Complement-activating component of Ra-reactive factor precursor"
"399"	160	"IPI:IPI00827486.1"	"-"	"Rheumatoid factor light chain variable region precursor (Fragment)"
"400"	161	"IPI:IPI00386133.1"	"-"	"Ig kappa chain V-IV region B17 precursor"
"401"	161	"IPI:IPI00387120.1"	"-"	"Ig kappa chain V-IV region Len"
"402"	161	"IPI:IPI00386132.1"	"-"	"Ig kappa chain V-IV region JI precursor"
"403"	161	"IPI:IPI00385143.1"	"-"	"Microfibrillar protein 2 (Fragment)"
"404"	161	"IPI:IPI00026197.7"	"IGKV4-1"	"Similar to Ig kappa chain V-IV region precursor"
"405"	162	"IPI:IPI00012792.1"	"CDH5"	"Cadherin-5 precursor"
"406"	162	"IPI:IPI00607725.4"	"CDH5"	"cadherin 5, type 2 isoform 2 preproprotein"
"407"	163	"IPI:IPI00646956.1"	"SELP"	"Selectin P"
"408"	163	"IPI:IPI00645234.1"	"SELP"	"Selectin P"
"409"	163	"IPI:IPI00644144.1"	"SELP"	"Selectin P"
"410"	163	"IPI:IPI00643835.1"	"SELP"	"Selectin P"
"411"	163	"IPI:IPI00514233.1"	"SELP"	"Selectin P"
"412"	163	"IPI:IPI00295339.3"	"SELP"	"P-selectin precursor"
"413"	163	"IPI:IPI00640405.1"	"SELP"	"Selectin P"
"414"	163	"IPI:IPI00514796.1"	"SELP"	"Selectin P"
"415"	163	"IPI:IPI00645768.1"	"SELE"	"Selectin E"
"416"	163	"IPI:IPI00514728.1"	"SELE"	"Selectin E"
"417"	163	"IPI:IPI00514521.1"	"SELE"	"Selectin E"
"418"	163	"IPI:IPI00514342.1"	"SELE"	"Selectin E"
"419"	163	"IPI:IPI00296542.1"	"SELE"	"E-selectin precursor"
"420"	163	"IPI:IPI00218795.1"	"SELL"	"L-selectin precursor"
"421"	164	"IPI:IPI00029235.1"	"IGFBP6"	"Insulin-like growth factor-binding protein 6 precursor"
"422"	165	"IPI:IPI00178926.2"	"IGJ"	"immunoglobulin J chain"
"423"	166	"IPI:IPI00029193.1"	"HGFAC"	"Hepatocyte growth factor activator precursor"
"424"	167	"IPI:IPI00847793.1"	"-"	"Dermcidin isoform 2"
"425"	167	"IPI:IPI00027547.2"	"DCD"	"Dermcidin precursor"
"426"	168	"IPI:IPI00642842.1"	"CRP"	"C-reactive protein, pentraxin-related"
"427"	168	"IPI:IPI00218876.3"	"CRP"	"Isoform 2 of C-reactive protein precursor"
"428"	168	"IPI:IPI00022389.1"	"CRP"	"Isoform 1 of C-reactive protein precursor"
"429"	169	"IPI:IPI00007199.4"	"SERPINA10"	"Protein Z-dependent protease inhibitor precursor"
"430"	170	"IPI:IPI00847381.1"	"SEPP1"	"selenoprotein P isoform 2"
"431"	170	"IPI:IPI00798100.1"	"SEPP1"	"Protein"
"432"	170	"IPI:IPI00029061.2"	"SEPP1"	"Selenoprotein P precursor"
"433"	171	"IPI:IPI00845506.1"	"PI16"	"Isoform 2 of Peptidase inhibitor 16 precursor"
"434"	171	"IPI:IPI00301143.5"	"PI16"	"Isoform 1 of Peptidase inhibitor 16 precursor"
"435"	172	"IPI:IPI00021854.1"	"APOA2"	"Apolipoprotein A-II precursor"
"436"	173	"IPI:IPI00025864.5"	"BCHE"	"Cholinesterase precursor"
"437"	174	"IPI:IPI00873123.1"	"NEB"	"nebulin"
"438"	174	"IPI:IPI00303335.1"	"NEB"	"Nebulin"
"439"	174	"IPI:IPI00743654.2"	"NEB"	"Uncharacterized protein NEB"
"440"	175	"IPI:IPI00871556.1"	"ZFYVE28"	"107 kDa protein"
"441"	175	"IPI:IPI00288918.6"	"ZFYVE28"	"Zinc finger FYVE domain-containing protein 28"
"442"	176	"IPI:IPI00218730.5"	"PDE6A"	"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha"
"443"	177	"IPI:IPI00742698.3"	"C4orf23"	"Isoform 1 of Putative methyltransferase UPF0383"
"444"	178	"IPI:IPI00829626.1"	"IGL@"	"IGL@ protein"
"445"	178	"IPI:IPI00384399.1"	"-"	"Myosin-reactive immunoglobulin light chain variable region (Fragment)"
"446"	179	"IPI:IPI00440577.3"	"IGKV2-24"	"IGKV2-24 protein"
"447"	179	"IPI:IPI00829827.1"	"-"	"Uncharacterized protein ENSP00000374804"
"448"	179	"IPI:IPI00884433.1"	"-"	"13 kDa protein"
"449"	179	"IPI:IPI00829600.1"	"-"	"Uncharacterized protein ENSP00000374803"
"450"	179	"IPI:IPI00743194.2"	"-"	"Kappa light chain variable region (Fragment)"
"451"	180	"IPI:IPI00444272.2"	"LIFR"	"Leukemia inhibitory factor receptor precursor"
"452"	181	"IPI:IPI00021429.6"	"NR2F6"	"Nuclear receptor subfamily 2 group F member 6"
"453"	182	"IPI:IPI00873023.1"	"RIMS2"	"Isoform 3 of Regulating synaptic membrane exocytosis protein 2"
"454"	182	"IPI:IPI00249249.4"	"RIMS2"	"Isoform 6 of Regulating synaptic membrane exocytosis protein 2"
"455"	182	"IPI:IPI00339347.2"	"RIMS2"	"Isoform 2 of Regulating synaptic membrane exocytosis protein 2"
"456"	182	"IPI:IPI00855698.1"	"RIMS2"	"regulating synaptic membrane exocytosis 2 isoform b"
"457"	182	"IPI:IPI00005698.1"	"RIMS2"	"Isoform 1 of Regulating synaptic membrane exocytosis protein 2"
"458"	183	"IPI:IPI00397836.1"	"GSG2"	"Isoform 1 of Serine/threonine-protein kinase haspin"
"459"	183	"IPI:IPI00401554.1"	"GSG2"	"Isoform 2 of Serine/threonine-protein kinase haspin"
"460"	184	"IPI:IPI00303343.7"	"SCAF1"	"Splicing factor, arginine/serine-rich 19"
"461"	185	"IPI:IPI00735909.2"	"LOC645620"	"similar to Leo1, Paf1/RNA polymerase II complex component, homolog"
"462"	186	"IPI:IPI00401776.9"	"MUC6"	"mucin 6, gastric"
"463"	187	"IPI:IPI00167703.4"	"NAT8L"	"N-acetyltransferase 8-like protein"
"464"	188	"IPI:IPI00868938.1"	"-"	"Beta-2-microglobulin"
"465"	188	"IPI:IPI00796379.1"	"B2M"	"B2M protein"
"466"	188	"IPI:IPI00004656.2"	"B2M"	"Beta-2-microglobulin"
"467"	189	"IPI:IPI00029045.1"	"IKBKE"	"Inhibitor of nuclear factor kappa-B kinase subunit epsilon"
"468"	190	"IPI:IPI00479529.2"	"KIF13B"	"KIF13B protein"
"469"	190	"IPI:IPI00021753.5"	"KIF13B"	"Kinesin-like protein KIF13B"
"470"	191	"IPI:IPI00007128.1"	"PRKCG"	"Protein kinase C gamma type"
"471"	192	"IPI:IPI00790024.1"	"C20orf175"	"Isoform 1 of Uncharacterized protein C20orf175"
"472"	192	"IPI:IPI00168750.3"	"C20orf175"	"FLJ00360 protein (Fragment)"
"473"	193	"IPI:IPI00795766.2"	"AGRN"	"similar to agrin"
"474"	193	"IPI:IPI00374563.3"	"AGRN"	"Agrin precursor"
"475"	194	"IPI:IPI00306305.8"	"OBSL1"	"Obscurin-like 1 isoform A"
"476"	195	"IPI:IPI00375578.1"	"SASS6"	"Spindle assembly abnormal protein 6 homolog"
"477"	196	"IPI:IPI00844035.1"	"NEBL"	"Nebulette"
"478"	196	"IPI:IPI00872370.1"	"NEBL"	"117 kDa protein"
"479"	197	"IPI:IPI00440769.3"	"KCTD2"	"KCTD2 protein (Fragment)"
"480"	198	"IPI:IPI00787017.1"	"LOC643875"	"similar to calponin 3, acidic"
"481"	199	"IPI:IPI00872573.1"	"C1RL"	"48 kDa protein"
"482"	199	"IPI:IPI00795055.1"	"C1RL"	"CDNA FLJ14022 fis, clone HEMBA1003538, weakly similar to COMPLEMENT C1R COMPONENT"
"483"	199	"IPI:IPI00009793.3"	"C1RL"	"Complement C1r-like protein"
"484"	200	"IPI:IPI00748762.3"	"LRRK1"	"Isoform 1 of Leucine-rich repeat serine/threonine-protein kinase 1"
"485"	200	"IPI:IPI00306522.4"	"LRRK1"	"leucine-rich repeat kinase 1"
"486"	201	"IPI:IPI00829590.1"	"-"	"Uncharacterized protein ENSP00000375044"
"487"	202	"IPI:IPI00010471.5"	"LCP1"	"Plastin-2"
"488"	203	"IPI:IPI00180559.3"	"NET1"	"Isoform 2 of Neuroepithelial cell-transforming gene 1 protein"
"489"	203	"IPI:IPI00098952.2"	"NET1"	"62 kDa protein"
"490"	204	"IPI:IPI00749024.2"	"NXF1"	"nuclear RNA export factor 1 isoform 2"
"491"	205	"IPI:IPI00798412.1"	"UBE3B"	"118 kDa protein"
"492"	205	"IPI:IPI00470597.4"	"UBE3B"	"Isoform 1 of Ubiquitin-protein ligase E3B"
"493"	206	"IPI:IPI00218326.1"	"SP100"	"Isoform Sp100-C of Nuclear autoantigen Sp-100"
"494"	207	"IPI:IPI00789361.1"	"DAB2IP"	"Isoform 1 of Disabled homolog 2-interacting protein"
"495"	208	"IPI:IPI00332192.4"	"IL25"	"Isoform 2 of Interleukin-25 precursor"
"496"	208	"IPI:IPI00009731.1"	"IL25"	"Isoform 1 of Interleukin-25 precursor"
"497"	209	"IPI:IPI00848160.1"	"TMEM16G"	"Isoform 3 of Transmembrane protein 16G"
"498"	209	"IPI:IPI00170999.4"	"TMEM16G"	"Isoform 1 of Transmembrane protein 16G"
"499"	210	"IPI:IPI00102812.5"	"LOC126147"	"Putative uncharacterized protein LOC126147"
"500"	211	"IPI:IPI00761016.4"	"C7orf43"	"Isoform 1 of Uncharacterized protein C7orf43"
"501"	212	"IPI:IPI00853158.2"	"PRUNE2"	"prune homolog 2 isoform 1"
"502"	213	"IPI:IPI00004416.1"	"CHMP2A"	"Charged multivesicular body protein 2a"
"503"	214	"IPI:IPI00747810.2"	"FSCN1"	"FSCN1 protein (Fragment)"
"504"	214	"IPI:IPI00163187.10"	"FSCN1"	"Fascin"
"505"	215	"IPI:IPI00216065.3"	"PROZ"	"Isoform 2 of Vitamin K-dependent protein Z precursor"
"506"	216	"IPI:IPI00021033.2"	"COL3A1"	"Isoform 1 of Collagen alpha-1(III) chain precursor"
"507"	217	"IPI:IPI00289819.4"	"IGF2R"	"Cation-independent mannose-6-phosphate receptor precursor"
"508"	218	"IPI:IPI00171491.3"	"KCNH5"	"Isoform 1 of Potassium voltage-gated channel subfamily H member 5"
"509"	219	"IPI:IPI00186290.6"	"EEF2"	"Elongation factor 2"
"510"	220	"IPI:IPI00872289.1"	"COL4A3"	"159 kDa protein"
"511"	220	"IPI:IPI00871446.1"	"COL4A3"	"163 kDa protein"
"512"	221	"IPI:IPI00789181.1"	"PLCL1"	"115 kDa protein"
"513"	222	"IPI:IPI00884180.1"	"IGHM"	"IGHM protein"
"514"	223	"IPI:IPI00871561.1"	"MYLK3"	"MLCK protein"
"515"	223	"IPI:IPI00304648.4"	"MYLK3"	"MLCK protein"
"516"	224	"IPI:IPI00033349.3"	"PREB"	"Prolactin regulatory element-binding protein"
"517"	225	"IPI:IPI00480203.3"	"MICAL3"	"Isoform 2 of Protein MICAL-3"
"518"	225	"IPI:IPI00177937.5"	"MICAL3"	"Isoform 1 of Protein MICAL-3"
"519"	226	"IPI:IPI00216780.3"	"CILP2"	"Cartilage intermediate layer protein 2 precursor"
"520"	227	"IPI:IPI00032230.2"	"EPB41L3"	"Isoform A of Band 4.1-like protein 3"
"521"	228	"IPI:IPI00884031.1"	"-"	"IL1RL2 protein"
"522"	228	"IPI:IPI00795930.2"	"IL1RL2"	"Interleukin-1 receptor-like 2 precursor"
"523"	229	"IPI:IPI00746107.2"	"TRIM35"	"Isoform 2 of Tripartite motif-containing protein 35"
"524"	230	"IPI:IPI00411356.5"	"VPS4A"	"Vacuolar protein sorting-associating protein 4A"
"525"	231	"IPI:IPI00218465.10"	"PLAA"	"Phospholipase A-2-activating protein"
"526"	232	"IPI:IPI00217994.1"	"DST"	"Isoform 5 of Bullous pemphigoid antigen 1, isoforms 1/2/3/4/5/8 (Fragment)"
"527"	232	"IPI:IPI00008756.5"	"DST"	"Isoform 1 of Bullous pemphigoid antigen 1, isoforms 1/2/3/4/5/8 (Fragment)"
"528"	233	"IPI:IPI00749005.2"	"SYNE1"	"1011 kDa protein"
"529"	233	"IPI:IPI00386444.2"	"SYNE1"	"Isoform 1 of Nesprin-1"
"530"	234	"IPI:IPI00012213.1"	"CARD14"	"Caspase recruitment domain-containing protein 14"
"531"	235	"IPI:IPI00100041.3"	"L3MBTL2"	"Isoform 1 of Lethal"
"532"	236	"IPI:IPI00829979.1"	"-"	"Uncharacterized protein ENSP00000375008"
"533"	236	"IPI:IPI00739205.3"	"LOC652102"	"Ig heavy chain V-I region HG3 precursor"
"534"	237	"IPI:IPI00854629.1"	"OBSCN"	"Isoform 6 of Obscurin"
"535"	238	"IPI:IPI00004459.1"	"DIMT1L"	"Probable dimethyladenosine transferase"
"536"	239	"IPI:IPI00883991.1"	"HLA-DQB1"	"Beta chain HLA-DQ molecule (Fragment)"
"537"	240	"IPI:IPI00745062.1"	"-"	"Conserved hypothetical protein"
"538"	241	"IPI:IPI00883943.1"	"GRRP1"	"Glycine/arginine-rich protein 1"
"539"	242	"IPI:IPI00001580.4"	"FYCO1"	"Isoform 1 of FYVE and coiled-coil domain-containing protein 1"
"540"	243	"IPI:IPI00872405.1"	"PDE10A"	"Phosphodiesterase 10A1"
"541"	243	"IPI:IPI00297440.2"	"PDE10A"	"Isoform PDE10A1 of cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A"
"542"	243	"IPI:IPI00215786.3"	"PDE10A"	"3',5'-cyclic nucleotide phosphodiesterase 10A2"
"543"	244	"IPI:IPI00872223.1"	"MYH7"	"Rhabdomyosarcoma antigen MU-RMS-40.7A"
"544"	244	"IPI:IPI00025880.2"	"MYH7"	"Myosin-7"
"545"	245	"IPI:IPI00382710.1"	"-"	"Sorbin polypeptide"
"546"	246	"IPI:IPI00013438.1"	"IGLL1"	"Immunoglobulin lambda-like polypeptide 1 precursor"
"547"	247	"IPI:IPI00784869.3"	"DNAH10"	"dynein, axonemal, heavy chain 10 isoform 1"
"548"	248	"IPI:IPI00165434.4"	"YLPM1"	"YLP motif containing 1"
"549"	249	"IPI:IPI00299738.1"	"PCOLCE"	"Procollagen C-endopeptidase enhancer 1 precursor"
"550"	250	"IPI:IPI00797555.1"	"EIF4E3"	"6 kDa protein"
"551"	251	"IPI:IPI00472316.1"	"DMD"	"dystrophin Dp427p1 isoform"
"552"	251	"IPI:IPI00375141.1"	"DMD"	"dystrophin Dp427l isoform"
"553"	251	"IPI:IPI00304639.2"	"DMD"	"Isoform 3 of Dystrophin"
"554"	251	"IPI:IPI00006091.2"	"DMD"	"Isoform 4 of Dystrophin"
"555"	252	"IPI:IPI00028083.1"	"EIF2B2"	"Translation initiation factor eIF-2B subunit beta"
"556"	253	"IPI:IPI00552671.2"	"PLXNA1"	"Plexin-A1 precursor"
"557"	254	"IPI:IPI00384713.4"	"FGFR2"	"Fibroblast growth factor receptor 2 precursor"
"558"	254	"IPI:IPI00218424.3"	"FGFR2"	"Isoform 3 of Fibroblast growth factor receptor 2 precursor"
"559"	255	"IPI:IPI00783464.2"	"DNAH2"	"dynein heavy chain domain 3"
"560"	256	"IPI:IPI00383951.4"	"SDK1"	"Isoform 3 of Protein sidekick-1 precursor"
"561"	257	"IPI:IPI00385395.3"	"NUBPL"	"Isoform 2 of Nucleotide-binding protein-like"
"562"	257	"IPI:IPI00384517.2"	"NUBPL"	"Isoform 1 of Nucleotide-binding protein-like"
"563"	258	"IPI:IPI00549330.4"	"IGKV3D-15"	"Myosin-reactive immunoglobulin light chain variable region"
"564"	259	"IPI:IPI00303139.2"	"-"	"48 kDa protein"
"565"	260	"IPI:IPI00376496.1"	"GIT2"	"Isoform 10 of ARF GTPase-activating protein GIT2"
"566"	261	"IPI:IPI00739339.1"	"KRT126P"	"similar to Keratin, type II cytoskeletal 2 oral"
"567"	261	"IPI:IPI00736200.1"	"KRT126P"	"similar to Keratin, type II cytoskeletal 2 oral"
"568"	262	"IPI:IPI00217066.1"	"C13orf29"	"Uncharacterized protein C13orf29"
"569"	263	"IPI:IPI00446315.1"	"-"	"CDNA FLJ42255 fis, clone TKIDN2009889"
"570"	264	"IPI:IPI00645702.1"	"CTPS2"	"CTP synthase 2"
"571"	265	"IPI:IPI00414984.3"	"SGCE"	"sarcoglycan, epsilon isoform 1"
"572"	266	"IPI:IPI00376954.7"	"TAL1"	"SCL protein"
"573"	267	"IPI:IPI00068506.1"	"ABCF2"	"ATP-binding cassette, sub-family F, member 2 isoform b"
"574"	267	"IPI:IPI00005045.1"	"ABCF2"	"ATP-binding cassette sub-family F member 2"
