N	Accession	Gene_Symbol	Protein_Name	Unused
163	IPI00387099.1	-	Ig kappa chain V-I region Rei	0.00
163	IPI00827485.1	-	BRE (Fragment)	0.00
163	IPI00387022.1	-	Ig kappa chain V-I region AG	0.00
163	IPI00398220.1	-	Myosin-reactive immunoglobulin light chain variable region (Fragment)	0.00
163	IPI00384398.1	-	Myosin-reactive immunoglobulin light chain variable region (Fragment)	0.00
163	IPI00829804.1	-	13 kDa protein	0.00
163	IPI00385556.1	-	Ig kappa chain V-I region Daudi precursor	0.00
163	IPI00854582.1	-	Uncharacterized protein ENSP00000374793	0.00
163	IPI00830122.1	-	A30	0.00
163	IPI00829980.2	-	Myosin-reactive immunoglobulin light chain variable region (Fragment)	0.00
163	IPI00829699.1	-	V(k)3 sequence of NG9 gene from fetal liver DNA precursor	0.00
163	IPI00743963.1	IGKC	Ig kappa chain V-I region HK101 precursor (Fragment)	0.00
163	IPI00387094.1	-	Ig kappa chain V-I region Hau	0.00
163	IPI00385614.1	-	Ig kappa chain V-I region WAT	0.00
163	IPI00024134.1	IGKC	Ig kappa chain V-I region Walker precursor	0.00
163	IPI00387027.1	-	Ig kappa chain V-I region Gal	0.00
163	IPI00387101.1	-	Ig kappa chain V-I region Scw	0.00
163	IPI00382577.1	-	Kappa 1 light chain variable region (Fragment)	0.00
163	IPI00003111.6	LOC652694	Ig kappa chain V-I region AU	0.00
164	IPI00178926.2	IGJ	immunoglobulin J chain	2.01
165	IPI00021854.1	APOA2	Apolipoprotein A-II precursor	2.01
166	IPI00654875.1	C4B	Complement C4-B precursor	2.00
166	IPI00032258.4	C4A;C4B	Complement C4-A precursor	0.00
167	IPI00827488.1	IGKC	IGKC protein	2.00
167	IPI00829873.1	-	13 kDa protein	0.00
168	IPI00472345.1	IGHG3	IGHG3 protein	2.00
169	IPI00430847.1	IGKC	IGKC protein	2.00
169	IPI00829650.1	-	Similar to Ig kappa chain V-I region HK101 precursor	0.00
169	IPI00003470.1	-	Ig kappa chain V-I region Wes	0.00
170	IPI00478600.3	IGKV1-5	IGKV1-5 protein	2.00
170	IPI00829956.1	-	Rheumatoid factor C6 light chain (Fragment)	0.00
170	IPI00387026.1	-	Ig kappa chain V-I region EU	0.00
170	IPI00829912.1	IGKV1-5	Ig kappa chain V-I region HK102 precursor	0.00
170	IPI00387024.1	-	Ig kappa chain V-I region CAR	0.00
171	IPI00385264.1	-	Ig mu heavy chain disease protein	2.00
172	IPI00166866.3	IGHV3OR16-13;IGHA1	IGHA1 protein	2.00
172	IPI00007899.4	-	Single chain Fv (Fragment)	0.00
172	IPI00854667.1	-	Uncharacterized protein ENSP00000375015	0.00
173	IPI00791350.1	CLEC3B	11 kDa protein	2.00
173	IPI00792115.1	CLEC3B	Putative uncharacterized protein DKFZp686H17246	0.00
174	IPI00020091.1	ORM2	Alpha-1-acid glycoprotein 2 precursor	2.00
175	IPI00385555.1	-	Ig kappa chain V-I region BAN	2.00
175	IPI00829836.1	-	Uncharacterized protein ENSP00000374797	0.00
176	IPI00027482.1	SERPINA6	Corticosteroid-binding globulin precursor	2.00
177	IPI00221224.6	ANPEP	Aminopeptidase N	2.00
178	IPI00397808.3	LOC388720	similar to ubiquitin and ribosomal protein S27a precursor	2.00
178	IPI00794205.1	-	26 kDa protein	0.00
178	IPI00418813.2	-	CDNA FLJ46113 fis, clone TESTI2036285, highly similar to Rattus norvegicus ubiquitin C	0.00
178	IPI00873004.1	UBA52	11 kDa protein	0.00
178	IPI00793330.1	UBC;RPS27A;UBB	12 kDa protein	0.00
178	IPI00788210.1	LOC728590	similar to ribosomal protein S27a	0.00
178	IPI00456429.3	UBA52	ubiquitin and ribosomal protein L40 precursor	0.00
178	IPI00879555.1	-	9 kDa protein	0.00
178	IPI00873444.1	UBC;RPS27A;UBB	79 kDa protein	0.00
178	IPI00798155.3	UBC;RPS27A;UBB	Ubiquitin C splice variant	0.00
178	IPI00798127.1	UBC;RPS27A;UBB	ubiquitin C	0.00
178	IPI00797482.1	UBC;RPS27A;UBB	cDNA FLJ75516, highly similar to Xenopus tropicalis ubiquitin C, mRNA	0.00
178	IPI00797400.1	UBC;RPS27A;UBB	19 kDa protein	0.00
178	IPI00796600.1	UBC;RPS27A;UBB	18 kDa protein	0.00
178	IPI00796007.1	UBC;RPS27A;UBB	17 kDa protein	0.00
178	IPI00795527.1	UBC;RPS27A;UBB	21 kDa protein	0.00
178	IPI00794925.1	UBC;RPS27A;UBB	21 kDa protein	0.00
178	IPI00794211.1	UBC;RPS27A;UBB	18 kDa protein	0.00
178	IPI00793810.1	UBC;RPS27A;UBB	19 kDa protein	0.00
178	IPI00793729.1	UBC;RPS27A;UBB	UBC protein	0.00
178	IPI00792712.1	UBC;RPS27A;UBB	39 kDa protein	0.00
178	IPI00792139.1	UBC;RPS27A;UBB	9 kDa protein	0.00
178	IPI00790633.1	UBC;RPS27A;UBB	25 kDa protein	0.00
178	IPI00789823.1	UBC;RPS27A;UBB	16 kDa protein	0.00
178	IPI00789107.1	UBC;RPS27A;UBB	30 kDa protein	0.00
178	IPI00784990.2	UBC;RPS27A;UBB	Ubiquitin C splice variant	0.00
178	IPI00744274.1	UBC;RPS27A;UBB	44 kDa protein	0.00
178	IPI00743650.1	UBC;RPS27A;UBB	44 kDa protein	0.00
178	IPI00743241.1	UBC;RPS27A;UBB	44 kDa protein	0.00
178	IPI00719280.2	UBC;RPS27A;UBB	ubiquitin B precursor	0.00
178	IPI00654754.1	UBC;RPS27A;UBB	RPS27A protein	0.00
178	IPI00179330.6	UBC;RPS27A;UBB	ubiquitin and ribosomal protein S27a precursor	0.00
179	IPI00073777.1	PLXDC2	Isoform 2 of Plexin domain-containing protein 2 precursor	2.00
179	IPI00044369.2	PLXDC2	Isoform 1 of Plexin domain-containing protein 2 precursor	0.00
180	IPI00015924.1	TFIP11	Isoform 1 of Tuftelin-interacting protein 11	2.00
180	IPI00879058.1	TFIP11	Protein	0.00
181	IPI00478260.1	NMT2	Uncharacterized protein NMT2	2.00
181	IPI00030223.3	NMT2	Glycylpeptide N-tetradecanoyltransferase 2	0.00
181	IPI00477856.3	NMT2	Glycylpeptide N-tetradecanoyltransferase	0.00
181	IPI00815834.1	NMT2	NMT2 protein (Fragment)	0.00
182	IPI00007199.4	SERPINA10	Protein Z-dependent protease inhibitor precursor	2.00
183	IPI00852826.2	APOL1	42 kDa protein	2.00
183	IPI00514475.4	APOL1	Isoform 1 of Apolipoprotein-L1 precursor	0.00
183	IPI00186903.3	APOL1	Isoform 2 of Apolipoprotein-L1 precursor	0.00
184	IPI00301143.5	PI16	Isoform 1 of Peptidase inhibitor 16 precursor	2.00
184	IPI00845506.1	PI16	Isoform 2 of Peptidase inhibitor 16 precursor	0.00
185	IPI00382501.1	-	Ig heavy chain V-III region DOB	2.00
185	IPI00382500.1	-	Ig heavy chain V-III region GAL	0.00
186	IPI00657670.1	-	13 kDa protein	2.00
186	IPI00021857.1	APOC3	Apolipoprotein C-III precursor	0.00
187	IPI00045816.1	-	CDNA FLJ14761 fis, clone NT2RP3003302	2.00
188	IPI00029235.1	IGFBP6	Insulin-like growth factor-binding protein 6 precursor	2.00
189	IPI00011832.1	SPP2	Secreted phosphoprotein 24 precursor	2.00
190	IPI00072917.2	COL6A3	alpha 3 type VI collagen isoform 3 precursor	1.81
190	IPI00022200.2	COL6A3	alpha 3 type VI collagen isoform 1 precursor	0.00
190	IPI00871621.1	COL6A3	322 kDa protein	0.00
190	IPI00376964.2	COL6A3	alpha 3 type VI collagen isoform 2 precursor	0.00
190	IPI00220701.3	COL6A3	Isoform 2 of Collagen alpha-3(VI) chain precursor	0.00
190	IPI00072918.2	COL6A3	alpha 3 type VI collagen isoform 4 precursor	0.00
191	IPI00292218.4	MST1	Hepatocyte growth factor-like protein precursor	1.74
192	IPI00740038.3	LOC442572	similar to Williams Beuren syndrome chromosome region 19	1.71
192	IPI00642472.1	-	34 kDa protein	0.00
192	IPI00303139.2	-	48 kDa protein	0.00
192	IPI00879310.1	-	29 kDa protein	0.00
192	IPI00455014.3	-	Uncharacterized protein ENSP00000342628	0.00
192	IPI00879001.1	-	40 kDa protein	0.00
192	IPI00455761.3	LOC441258;LOC389517;LOC728524;LOC643862;LOC730294;LOC643909;LOC730307	Williams Beuren syndrome chromosome region 19 pseudogene	0.00
193	IPI00299158.1	PVR	Isoform Alpha of Poliovirus receptor precursor	1.71
193	IPI00219427.1	PVR	Isoform Delta of Poliovirus receptor precursor	0.00
193	IPI00219426.1	PVR	Isoform Gamma of Poliovirus receptor precursor	0.00
193	IPI00219425.3	PVR	Isoform Beta of Poliovirus receptor precursor	0.00
194	IPI00440825.1	ABI3BP	Isoform 4 of Target of Nesh-SH3 precursor	1.70
194	IPI00440824.2	ABI3BP	Target of Nesh-SH3 precursor (Tarsh) (Nesh-binding protein) (NeshBP) (ABI gene family member 3-binding protein). Isoform 2	0.00
194	IPI00419966.1	ABI3BP	Isoform 2 of Target of Nesh-SH3 precursor	0.00
194	IPI00440822.2	ABI3BP	Isoform 1 of Target of Nesh-SH3 precursor	0.00
195	IPI00076597.3	ALKBH3	Isoform 1 of Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	1.70
195	IPI00433171.1	ALKBH3	Isoform 2 of Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	0.00
196	IPI00303364.1	OR4K5	Olfactory receptor 4K5	1.70
197	IPI00884416.1	-	Conserved hypothetical protein	1.70
198	IPI00555872.5	IGHV3-48	Myosin-reactive immunoglobulin heavy chain variable region (Fragment)	1.68
198	IPI00382480.1	-	Ig heavy chain V-III region BRO	1.68
199	IPI00555872.5	IGHV3-48	Myosin-reactive immunoglobulin heavy chain variable region (Fragment)	1.68
199	IPI00382480.1	-	Ig heavy chain V-III region BRO	1.68
200	IPI00384392.1	-	Myosin-reactive immunoglobulin heavy chain variable region (Fragment)	1.68
201	IPI00783287.1	-	Immunglobulin heavy chain variable region (Fragment)	1.68
202	IPI00872895.1	-	Uncharacterized protein ENSP00000381660 (Fragment)	1.68
203	IPI00827482.2	-	Uncharacterized protein ENSP00000348964 (Fragment)	1.68
203	IPI00382494.1	-	Ig heavy chain V-III region TEI	1.68
204	IPI00827482.2	-	Uncharacterized protein ENSP00000348964 (Fragment)	1.68
204	IPI00382494.1	-	Ig heavy chain V-III region TEI	1.68
205	IPI00385683.1	-	Ig heavy chain V-III region GAR	1.68
206	IPI00844239.1	-	Immunoblobulin G1 Fab heavy chain variable region (Fragment)	1.61
207	IPI00001399.1	AJAP1	Adherens junction-associated protein 1	1.60
208	IPI00001159.10	GCN1L1	GCN1-like protein 1	1.59
209	IPI00032293.1	CST3	Cystatin-C precursor	1.59
210	IPI00795625.1	SLMO1	Protein slowmo homolog 1	1.54
211	IPI00296645.3	MTTP	Microsomal triglyceride transfer protein large subunit precursor	1.53
212	IPI00555812.4	GC	Vitamin D-binding protein precursor	1.52
213	IPI00876888.1	-	cDNA FLJ78387	1.52
213	IPI00827892.1	-	VH87-2 protein (Fragment)	0.00
213	IPI00829590.1	-	Uncharacterized protein ENSP00000375044	0.00
213	IPI00783024.1	-	Myosin-reactive immunoglobulin heavy chain variable region (Fragment)	0.00
213	IPI00884004.1	-	Rheumatoid factor RF-ET12 (Fragment)	0.00
213	IPI00829841.1	-	13 kDa protein	0.00
213	IPI00477804.4	-	Immunglobulin heavy chain variable region (Fragment)	0.00
213	IPI00384404.4	-	Rheumatoid factor RF-ET9 (Fragment)	0.00
213	IPI00883765.1	-	Similar to Immunglobulin heavy chain variable region	0.00
213	IPI00783184.1	-	Immunglobulin heavy chain variable region (Fragment)	0.00
214	IPI00515041.5	CFH	Uncharacterized protein CFH	1.52
215	IPI00793994.1	IGF1	insulin-like growth factor 1 isoform 2 preproprotein	1.52
215	IPI00001610.1	IGF1	Insulin-like growth factor IA precursor	0.00
215	IPI00853336.1	IGF1	insulin-like growth factor 1 isoform 1 preproprotein	0.00
215	IPI00852675.1	IGF1	Insulin-like growth factor-I	0.00
215	IPI00797681.1	IGF1	15 kDa protein	0.00
215	IPI00433029.1	IGF1	Insulin-like growth factor IB precursor	0.00
216	IPI00025204.1	CD5L	CD5 antigen-like precursor	1.50
217	IPI00643747.1	C22orf30	Isoform 1 of Uncharacterized protein C22orf30	1.48
217	IPI00217178.6	C22orf30	Isoform 4 of Uncharacterized protein C22orf30	0.01
217	IPI00854670.1	C22orf30	Isoform 2 of Uncharacterized protein C22orf30	0.00
218	IPI00104907.3	C14orf106	Isoform 1 of Uncharacterized potential DNA-binding protein C14orf106	1.42
218	IPI00385830.3	C14orf106	Isoform 2 of Uncharacterized potential DNA-binding protein C14orf106	0.00
219	IPI00216780.3	CILP2	Cartilage intermediate layer protein 2 precursor	1.41
220	IPI00871686.1	CLASP2	Isoform 1 of CLIP-associating protein 2	1.40
220	IPI00478227.5	CLASP2	165 kDa protein	0.00
220	IPI00024382.4	CLASP2	CLIP-associating protein 2	0.00
221	IPI00339297.1	GALNT4	Polypeptide N-acetylgalactosaminyltransferase 4	1.40
222	IPI00306305.8	OBSL1	Obscurin-like 1 isoform A	1.36
223	IPI00854629.1	OBSCN	Isoform 6 of Obscurin	1.36
223	IPI00742748.1	OBSCN	Isoform 2 of Obscurin	0.00
223	IPI00288940.5	OBSCN	Isoform 1 of Obscurin	0.00
224	IPI00300244.3	ZCWPW1	zinc finger, CW type with PWWP domain 1	1.31
225	IPI00339242.1	C6orf165	Isoform 1 of Uncharacterized protein C6orf165	1.31
225	IPI00251430.1	C6orf165	Isoform 2 of Uncharacterized protein C6orf165	0.00
226	IPI00552756.4	MTIF3	Translation initiation factor IF-3, mitochondrial precursor	1.30
227	IPI00786896.1	NRAP	Isoform 4 of Nebulin-related-anchoring protein	1.23
227	IPI00745227.4	NRAP	Isoform 1 of Nebulin-related-anchoring protein	0.00
227	IPI00478974.2	NRAP	Isoform 3 of Nebulin-related-anchoring protein	0.00
227	IPI00398162.4	NRAP	Isoform 2 of Nebulin-related-anchoring protein	0.00
228	IPI00165972.3	CFD	Complement factor D preproprotein	1.23
229	IPI00790598.1	-	Conserved hypothetical protein	1.22
230	IPI00145593.7	NOM1	Nucleolar MIF4G domain-containing protein 1	1.15
231	IPI00872997.1	KIF21B	Isoform 1 of Kinesin-like protein KIF21B	1.14
231	IPI00644778.2	KIF21B	Isoform 2 of Kinesin-like protein KIF21B	0.00
231	IPI00397809.4	KIF21B	Kinesin-like protein KIF21B variant	0.00
232	IPI00303343.7	SCAF1	Splicing factor, arginine/serine-rich 19	1.14
233	IPI00014199.1	CENTB1	Centaurin-beta-1	1.13
234	IPI00853158.2	PRUNE2	prune homolog 2 isoform 1	1.11
235	IPI00307165.1	TRIM47	Tripartite motif-containing protein 47	1.11
236	IPI00749442.1	MYB	Isoform 6 of Myb proto-oncogene protein	1.10
236	IPI00471985.1	MYB	Isoform 2 of Myb proto-oncogene protein	0.00
236	IPI00420046.2	MYB	Isoform 1 of Myb proto-oncogene protein	0.00
236	IPI00219499.2	MYB	C-myb v-myb myeloblastosis viral oncogene homologue (avian), exon 1 and joined CDS	0.00
236	IPI00219497.1	MYB	Isoform 4 of Myb proto-oncogene protein	0.00
237	IPI00871561.1	MYLK3	MLCK protein	1.10
237	IPI00304648.4	MYLK3	MLCK protein	0.00
238	IPI00026969.4	SEC23IP	Isoform 1 of SEC23-interacting protein	1.10
239	IPI00872079.1	SFRS10	38 kDa protein	1.10
240	IPI00856005.1	OTUD4	OTU domain containing 4 protein isoform 1	1.10
240	IPI00399254.3	OTUD4	Isoform 1 of OTU domain-containing protein 4	0.00
241	IPI00867587.1	ANKHD1	Isoform 4 of Ankyrin repeat and KH domain-containing protein 1	1.06
241	IPI00797397.1	ANKHD1;EIF4EBP3	Isoform 1 of Ankyrin repeat and KH domain-containing protein 1	0.00
241	IPI00217442.2	ANKHD1-EIF4EBP3;EIF4EBP3	ANKHD1-EIF4EBP3 protein	0.00
242	IPI00793228.1	BAD	Uncharacterized protein BAD	1.06
243	IPI00845508.1	BAHCC1	BAH domain and coiled-coil containing 1	1.05
244	IPI00374076.3	C20orf142	Uncharacterized protein C20orf142 precursor	1.05
245	IPI00647486.1	CASP7	Caspase 7, apoptosis-related cysteine peptidase	1.00
245	IPI00221307.1	CASP7	Isoform Alpha of Caspase-7 precursor	0.00
245	IPI00216675.1	CASP7	Isoform Alpha' of Caspase-7 precursor	0.00
246	IPI00382710.1	-	Sorbin polypeptide	1.00
247	IPI00413822.3	GIT2	Isoform 11 of ARF GTPase-activating protein GIT2	1.00
247	IPI00413167.2	GIT2	Isoform 6 of ARF GTPase-activating protein GIT2	0.00
247	IPI00376496.1	GIT2	Isoform 10 of ARF GTPase-activating protein GIT2	0.00
247	IPI00238218.3	GIT2	Isoform 1 of ARF GTPase-activating protein GIT2	0.00
247	IPI00216997.1	GIT2	Isoform 8 of ARF GTPase-activating protein GIT2	0.00
247	IPI00216996.1	GIT2	Isoform 7 of ARF GTPase-activating protein GIT2	0.00
247	IPI00216994.1	GIT2	Isoform 5 of ARF GTPase-activating protein GIT2	0.00
247	IPI00216993.1	GIT2	Isoform 4 of ARF GTPase-activating protein GIT2	0.00
247	IPI00216991.1	GIT2	Isoform 3 of ARF GTPase-activating protein GIT2	0.00
248	IPI00177820.3	SLC14A2	Urea transporter, kidney	1.00
249	IPI00853121.1	TTLL3	18 kDa protein	1.00
249	IPI00853056.1	TTLL3	18 kDa protein	0.00
250	IPI00816409.1	-	V<gamma>1 protein (Fragment)	0.98
251	IPI00019471.1	IRS1	Insulin receptor substrate 1	0.97
252	IPI00642425.1	ICAM1	Cell surface glycoprotein	0.97
252	IPI00008494.4	ICAM1	Intercellular adhesion molecule 1 precursor	0.00
253	IPI00152399.1	C7orf38	Uncharacterized protein C7orf38	0.97
254	IPI00016868.3	TELO2	TEL2, telomere maintenance 2, homolog	0.96
255	IPI00152380.3	MYO15A	Myosin-XV	0.92
256	IPI00020153.3	BSN	Protein bassoon	0.92
257	IPI00783577.1	APBB1	Isoform 2 of Amyloid beta A4 precursor protein-binding family B member 1	0.92
257	IPI00383108.3	APBB1	Adaptor protein FE65a2 (Fragment)	0.00
257	IPI00010843.3	APBB1	Isoform 1 of Amyloid beta A4 precursor protein-binding family B member 1	0.00
258	IPI00747208.1	PIWIL1	Isoform 2 of Piwi-like protein 1	0.91
258	IPI00290933.3	PIWIL1	Isoform 1 of Piwi-like protein 1	0.00
259	IPI00740890.2	-	similar to jumonji domain containing 2D	0.89
259	IPI00399328.5	LOC390245	similar to jumonji domain containing 2D	0.00
260	IPI00869136.1	PCNXL3	pecanex-like 3	0.87
261	IPI00386324.1	GPR142	Seven transmembrane helix receptor	0.86
262	IPI00827871.2	ZFHX4	Isoform 2 of Zinc finger homeobox protein 4	0.86
262	IPI00328754.6	ZFHX4	zinc finger homeodomain 4	0.00
263	IPI00004416.1	CHMP2A	Charged multivesicular body protein 2a	0.86
264	IPI00023020.1	SEMG1	Isoform 1 of Semenogelin-1 precursor	0.85
265	IPI00398418.3	-	84 kDa protein	0.84
266	IPI00736860.2	ELK2P1	ELK2, member of ETS oncogene family, pseudogene 1	0.82
267	IPI00300371.5	SF3B3	Isoform 1 of Splicing factor 3B subunit 3	0.81
268	IPI00747189.2	LOC728317	similar to melanoma associated antigen (mutated) 1-like 1	0.80
269	IPI00306129.2	TG	Isoform 1 of Thyroglobulin precursor	0.78
270	IPI00019755.3	GSTO1	Glutathione transferase omega-1	0.77
271	IPI00444012.2	MYO16	Isoform 1 of Myosin-XVI	0.75
272	IPI00749005.2	SYNE1	1011 kDa protein	0.74
272	IPI00386444.2	SYNE1	Isoform 1 of Nesprin-1	0.00
272	IPI00247295.3	SYNE1	Isoform 4 of Nesprin-1	0.00
273	IPI00290032.1	TRPM7	Transient receptor potential cation channel subfamily M member 7	0.72
274	IPI00847618.1	SHANK3	Isoform 1 of SH3 and multiple ankyrin repeat domains protein 3	0.71
275	IPI00220995.1	PARP2	Isoform 2 of Poly [ADP-ribose] polymerase 2	0.71
276	IPI00009328.4	EIF4A3	Eukaryotic initiation factor 4A-III	0.71
277	IPI00001790.5	KIAA1450	hypothetical protein LOC57600	0.70
278	IPI00418931.1	FLJ45139	CDNA FLJ45139 fis, clone BRAWH3039623	0.70
