"N"	"Accession"	"Gene_Symbol"	"Protein_Name"
"297"	149	"IPI:IPI00409710.1"	"SLIT3"	"Isoform 3 of Slit homolog 3 protein precursor"
"298"	149	"IPI:IPI00017640.1"	"SLIT3"	"Isoform 1 of Slit homolog 3 protein precursor"
"299"	149	"IPI:IPI00409709.1"	"SLIT3"	"Isoform 2 of Slit homolog 3 protein precursor"
"300"	150	"IPI:IPI00794753.2"	"CNOT10"	"Isoform 4 of CCR4-NOT transcription complex subunit 10"
"301"	150	"IPI:IPI00790411.1"	"CNOT10"	"Isoform 1 of CCR4-NOT transcription complex subunit 10"
"302"	150	"IPI:IPI00396314.5"	"CNOT10"	"Isoform 3 of CCR4-NOT transcription complex subunit 10"
"303"	150	"IPI:IPI00878368.1"	"CNOT10"	"Isoform 2 of CCR4-NOT transcription complex subunit 10"
"304"	150	"IPI:IPI00791933.1"	"CNOT10"	"Isoform 5 of CCR4-NOT transcription complex subunit 10"
"305"	150	"IPI:IPI00795462.1"	"CNOT10"	"21 kDa protein"
"306"	151	"IPI:IPI00514468.1"	"MACF1"	"670 kDa protein"
"307"	151	"IPI:IPI00432363.1"	"MACF1"	"Microtubule-actin cross-linking factor 1, isoform 4"
"308"	152	"IPI:IPI00848003.2"	"RIMS1"	"Isoform 2 of Regulating synaptic membrane exocytosis protein 1"
"309"	152	"IPI:IPI00387015.1"	"RIMS1"	"Isoform 1 of Regulating synaptic membrane exocytosis protein 1"
"310"	152	"IPI:IPI00472331.3"	"RIMS1"	"Isoform 3 of Regulating synaptic membrane exocytosis protein 1"
"311"	152	"IPI:IPI00339392.1"	"RIMS1"	"Isoform 4 of Regulating synaptic membrane exocytosis protein 1"
"312"	152	"IPI:IPI00387018.1"	"RIMS1"	"Isoform 5 of Regulating synaptic membrane exocytosis protein 1"
"313"	152	"IPI:IPI00871571.1"	"RIMS1"	"Regulating synaptic membrane exocytosis 1"
"314"	152	"IPI:IPI00643902.1"	"RIMS1"	"Regulating synaptic membrane exocytosis 1"
"315"	152	"IPI:IPI00339394.1"	"RIMS1"	"Isoform 6 of Regulating synaptic membrane exocytosis protein 1"
"316"	152	"IPI:IPI00387019.1"	"RIMS1"	"Isoform 7 of Regulating synaptic membrane exocytosis protein 1"
"317"	152	"IPI:IPI00339396.1"	"RIMS1"	"Isoform 8 of Regulating synaptic membrane exocytosis protein 1"
"318"	152	"IPI:IPI00643480.1"	"RIMS1"	"Regulating synaptic membrane exocytosis 1"
"319"	153	"IPI:IPI00852826.2"	"APOL1"	"42 kDa protein"
"320"	153	"IPI:IPI00514475.4"	"APOL1"	"Isoform 1 of Apolipoprotein-L1 precursor"
"321"	153	"IPI:IPI00186903.3"	"APOL1"	"Isoform 2 of Apolipoprotein-L1 precursor"
"322"	154	"IPI:IPI00654875.1"	"C4B"	"Complement C4-B precursor"
"323"	154	"IPI:IPI00032258.4"	"C4A;C4B"	"Complement C4-A precursor"
"324"	155	"IPI:IPI00619902.1"	"ABCA3"	"ABCA3 variant protein (Fragment)"
"325"	155	"IPI:IPI00017800.2"	"ABCA3"	"ATP-binding cassette sub-family A member 3"
"326"	155	"IPI:IPI00735408.2"	"LOC342293"	"similar to ATP-binding cassette transporter sub-family A member 15"
"327"	155	"IPI:IPI00245612.3"	"LOC342293"	"similar to ATP-binding cassette transporter sub-family A member 15"
"328"	155	"IPI:IPI00375954.3"	"LOC390669"	"similar to ATP-binding cassette, sub-family A (ABC1), member 17"
"329"	155	"IPI:IPI00883675.1"	"-"	"Similar to ATP-binding cassette sub-family A member 3"
"330"	156	"IPI:IPI00643034.2"	"PLTP"	"Isoform 1 of Phospholipid transfer protein precursor"
"331"	156	"IPI:IPI00217778.1"	"PLTP"	"Isoform 2 of Phospholipid transfer protein precursor"
"332"	156	"IPI:IPI00022733.3"	"PLTP"	"45 kDa protein"
"333"	157	"IPI:IPI00165972.3"	"CFD"	"Complement factor D preproprotein"
"334"	158	"IPI:IPI00027827.2"	"SOD3"	"Extracellular superoxide dismutase [Cu-Zn] precursor"
"335"	159	"IPI:IPI00418163.3"	"C4B"	"C4B1"
"336"	160	"IPI:IPI00009028.1"	"CLEC3B"	"Tetranectin precursor"
"337"	161	"IPI:IPI00827488.1"	"IGKC"	"IGKC protein"
"338"	161	"IPI:IPI00829873.1"	"-"	"13 kDa protein"
"339"	162	"IPI:IPI00430847.1"	"IGKC"	"IGKC protein"
"340"	162	"IPI:IPI00829650.1"	"-"	"Similar to Ig kappa chain V-I region HK101 precursor"
"341"	162	"IPI:IPI00003470.1"	"-"	"Ig kappa chain V-I region Wes"
"342"	163	"IPI:IPI00815938.1"	"IGLV3-21"	"IGLV3-21 protein"
"343"	164	"IPI:IPI00423461.3"	"IGHA2"	"Putative uncharacterized protein DKFZp686C02220 (Fragment)"
"344"	165	"IPI:IPI00384391.1"	"-"	"Myosin-reactive immunoglobulin heavy chain variable region (Fragment)"
"345"	166	"IPI:IPI00027482.1"	"SERPINA6"	"Corticosteroid-binding globulin precursor"
"346"	167	"IPI:IPI00828061.1"	"-"	"Anti-mucin1 heavy chain variable region (Fragment)"
"347"	167	"IPI:IPI00827846.1"	"-"	"Anti-mucin1 heavy chain variable region (Fragment)"
"348"	167	"IPI:IPI00384400.1"	"-"	"Myosin-reactive immunoglobulin heavy chain variable region (Fragment)"
"349"	168	"IPI:IPI00871960.2"	"MASP1"	"cDNA FLJ75203, highly similar to Homo sapiens mannan-binding lectin serine protease 1 (C4/C2activating component of Ra-reactive factor) (MASP1), transcriptvariant 2, mRNA"
"350"	168	"IPI:IPI00290283.6"	"MASP1"	"mannan-binding lectin serine protease 1 isoform 2 precursor"
"351"	168	"IPI:IPI00871139.1"	"MASP1"	"92 kDa protein"
"352"	168	"IPI:IPI00299307.4"	"MASP1"	"Complement-activating component of Ra-reactive factor precursor"
"353"	169	"IPI:IPI00015924.1"	"TFIP11"	"Isoform 1 of Tuftelin-interacting protein 11"
"354"	169	"IPI:IPI00879058.1"	"TFIP11"	"Protein"
"355"	170	"IPI:IPI00829836.1"	"-"	"Uncharacterized protein ENSP00000374797"
"356"	170	"IPI:IPI00385555.1"	"-"	"Ig kappa chain V-I region BAN"
"357"	171	"IPI:IPI00829842.1"	"C14orf49"	"Isoform 2 of Nesprin-3"
"358"	171	"IPI:IPI00394994.2"	"C14orf49"	"Isoform 1 of Nesprin-3"
"359"	172	"IPI:IPI00607861.2"	"H6PD"	"GDH/6PGL endoplasmic bifunctional protein precursor"
"360"	173	"IPI:IPI00301143.5"	"PI16"	"Isoform 1 of Peptidase inhibitor 16 precursor"
"361"	173	"IPI:IPI00845506.1"	"PI16"	"Isoform 2 of Peptidase inhibitor 16 precursor"
"362"	174	"IPI:IPI00021817.1"	"PROC"	"Vitamin K-dependent protein C precursor"
"363"	175	"IPI:IPI00029235.1"	"IGFBP6"	"Insulin-like growth factor-binding protein 6 precursor"
"364"	176	"IPI:IPI00328396.3"	"S100A7A"	"Protein S100-A7A"
"365"	176	"IPI:IPI00219806.6"	"S100A7"	"Protein S100-A7"
"366"	177	"IPI:IPI00027350.3"	"PRDX2"	"Peroxiredoxin-2"
"367"	177	"IPI:IPI00794777.1"	"PRDX2"	"Uncharacterized protein PRDX2"
"368"	178	"IPI:IPI00657670.1"	"-"	"13 kDa protein"
"369"	178	"IPI:IPI00021857.1"	"APOC3"	"Apolipoprotein C-III precursor"
"370"	179	"IPI:IPI00007047.1"	"S100A8"	"Protein S100-A8"
"371"	180	"IPI:IPI00744274.1"	"UBC;RPS27A;UBB"	"44 kDa protein"
"372"	180	"IPI:IPI00743650.1"	"UBC;RPS27A;UBB"	"44 kDa protein"
"373"	180	"IPI:IPI00794205.1"	"-"	"26 kDa protein"
"374"	180	"IPI:IPI00418813.2"	"-"	"CDNA FLJ46113 fis, clone TESTI2036285, highly similar to Rattus norvegicus ubiquitin C"
"375"	180	"IPI:IPI00873444.1"	"UBC;RPS27A;UBB"	"79 kDa protein"
"376"	180	"IPI:IPI00798155.3"	"UBC;RPS27A;UBB"	"Ubiquitin C splice variant"
"377"	180	"IPI:IPI00798127.1"	"UBC;RPS27A;UBB"	"ubiquitin C"
"378"	180	"IPI:IPI00797482.1"	"UBC;RPS27A;UBB"	"cDNA FLJ75516, highly similar to Xenopus tropicalis ubiquitin C, mRNA"
"379"	180	"IPI:IPI00797400.1"	"UBC;RPS27A;UBB"	"19 kDa protein"
"380"	180	"IPI:IPI00796600.1"	"UBC;RPS27A;UBB"	"18 kDa protein"
"381"	180	"IPI:IPI00796007.1"	"UBC;RPS27A;UBB"	"17 kDa protein"
"382"	180	"IPI:IPI00795527.1"	"UBC;RPS27A;UBB"	"21 kDa protein"
"383"	180	"IPI:IPI00794925.1"	"UBC;RPS27A;UBB"	"21 kDa protein"
"384"	180	"IPI:IPI00794211.1"	"UBC;RPS27A;UBB"	"18 kDa protein"
"385"	180	"IPI:IPI00793810.1"	"UBC;RPS27A;UBB"	"19 kDa protein"
"386"	180	"IPI:IPI00793729.1"	"UBC;RPS27A;UBB"	"UBC protein"
"387"	180	"IPI:IPI00793330.1"	"UBC;RPS27A;UBB"	"12 kDa protein"
"388"	180	"IPI:IPI00792712.1"	"UBC;RPS27A;UBB"	"39 kDa protein"
"389"	180	"IPI:IPI00790633.1"	"UBC;RPS27A;UBB"	"25 kDa protein"
"390"	180	"IPI:IPI00789823.1"	"UBC;RPS27A;UBB"	"16 kDa protein"
"391"	180	"IPI:IPI00789107.1"	"UBC;RPS27A;UBB"	"30 kDa protein"
"392"	180	"IPI:IPI00784990.2"	"UBC;RPS27A;UBB"	"Ubiquitin C splice variant"
"393"	180	"IPI:IPI00743241.1"	"UBC;RPS27A;UBB"	"44 kDa protein"
"394"	180	"IPI:IPI00719280.2"	"UBC;RPS27A;UBB"	"ubiquitin B precursor"
"395"	180	"IPI:IPI00456429.3"	"UBA52"	"ubiquitin and ribosomal protein L40 precursor"
"396"	180	"IPI:IPI00788210.1"	"LOC728590"	"similar to ribosomal protein S27a"
"397"	180	"IPI:IPI00397808.3"	"LOC388720"	"similar to ubiquitin and ribosomal protein S27a precursor"
"398"	180	"IPI:IPI00179330.6"	"UBC;RPS27A;UBB"	"ubiquitin and ribosomal protein S27a precursor"
"399"	181	"IPI:IPI00299738.1"	"PCOLCE"	"Procollagen C-endopeptidase enhancer 1 precursor"
"400"	182	"IPI:IPI00073442.7"	"C14orf73"	"SEC6-like protein C14orf73"
"401"	183	"IPI:IPI00646721.1"	"USP7"	"Ubiquitin carboxyl-terminal hydrolase"
"402"	183	"IPI:IPI00003965.4"	"USP7"	"Ubiquitin carboxyl-terminal hydrolase 7"
"403"	184	"IPI:IPI00479471.2"	"SPATA13"	"Spermatogenesis associated 13"
"404"	184	"IPI:IPI00043546.5"	"SPATA13"	"Spermatogenesis-associated protein 13"
"405"	185	"IPI:IPI00868938.1"	"-"	"Beta-2-microglobulin"
"406"	185	"IPI:IPI00796379.1"	"B2M"	"B2M protein"
"407"	186	"IPI:IPI00019359.3"	"KRT9"	"Keratin, type I cytoskeletal 9"
"408"	187	"IPI:IPI00169276.2"	"-"	"Trypsinogen C"
"409"	188	"IPI:IPI00021364.1"	"CFP"	"Properdin precursor"
"410"	189	"IPI:IPI00005264.1"	"PKP2"	"Isoform 2 of Plakophilin-2"
"411"	189	"IPI:IPI00847318.1"	"PKP2"	"plakophilin 2 isoform 2a"
"412"	189	"IPI:IPI00219688.1"	"PKP2"	"Isoform 1 of Plakophilin-2"
"413"	190	"IPI:IPI00641150.2"	"LAMA1"	"similar to laminin, alpha 1 precursor"
"414"	190	"IPI:IPI00375294.2"	"LAMA1"	"Laminin subunit alpha-1 precursor"
"415"	191	"IPI:IPI00827702.1"	"FCHSD2"	"Isoform 1 of FCH and double SH3 domains protein 2"
"416"	191	"IPI:IPI00410639.6"	"FCHSD2"	"Isoform 2 of FCH and double SH3 domains protein 2"
"417"	192	"IPI:IPI00477245.3"	"LRRCC1"	"sodium channel associated protein 2 isoform a"
"418"	192	"IPI:IPI00807727.1"	"LRRCC1"	"sodium channel associated protein 2 isoform b"
"419"	193	"IPI:IPI00172480.5"	"WDR35"	"Isoform 2 of WD repeat-containing protein 35"
"420"	193	"IPI:IPI00165984.4"	"WDR35"	"Isoform 1 of WD repeat-containing protein 35"
"421"	194	"IPI:IPI00033153.1"	"NXF1"	"Nuclear RNA export factor 1"
"422"	194	"IPI:IPI00749024.2"	"NXF1"	"nuclear RNA export factor 1 isoform 2"
"423"	195	"IPI:IPI00644231.3"	"CYFIP1"	"Isoform 1 of Cytoplasmic FMR1-interacting protein 1"
"424"	196	"IPI:IPI00784842.1"	"IGHV4-31"	"Putative uncharacterized protein DKFZp686G11190"
"425"	196	"IPI:IPI00816775.1"	"-"	"F5-20 (Fragment)"
"426"	197	"IPI:IPI00019489.1"	"GPR19"	"Probable G-protein coupled receptor 19"
"427"	198	"IPI:IPI00165026.3"	"SETD3"	"Isoform 1 of SET domain-containing protein 3"
"428"	199	"IPI:IPI00426283.2"	"MAPK7"	"Mitogen activated protein kinase 7 transcript variant 5"
"429"	199	"IPI:IPI00555640.2"	"MAPK7"	"Mitogen activated protein kinase 7 transcript variant 5 variant"
"430"	200	"IPI:IPI00217047.4"	"SPTBN4"	"Isoform 3 of Spectrin beta chain, brain 3"
"431"	200	"IPI:IPI00018829.2"	"SPTBN4"	"Isoform 1 of Spectrin beta chain, brain 3"
"432"	200	"IPI:IPI00217048.1"	"SPTBN4"	"Isoform 4 of Spectrin beta chain, brain 3"
"433"	201	"IPI:IPI00013988.1"	"ARHGAP5"	"Rho GTPase-activating protein 5"
"434"	201	"IPI:IPI00646885.1"	"ARHGAP5"	"Rho GTPase activating protein 5 isoform a"
"435"	202	"IPI:IPI00014371.1"	"CDH18"	"Cadherin-18 precursor"
"436"	203	"IPI:IPI00643027.1"	"LARP1"	"Isoform 2 of La-related protein 1"
"437"	204	"IPI:IPI00642716.4"	"MYH7B"	"myosin, heavy polypeptide 7B, cardiac muscle, beta"
"438"	205	"IPI:IPI00383776.1"	"FN1"	"Fibronectin (Fragment)"
"439"	206	"IPI:IPI00552838.1"	"RC3H2"	"Isoform 2 of Ring finger and CCCH-type zinc finger domain-containing protein 2"
"440"	207	"IPI:IPI00299158.1"	"PVR"	"Isoform Alpha of Poliovirus receptor precursor"
"441"	207	"IPI:IPI00219427.1"	"PVR"	"Isoform Delta of Poliovirus receptor precursor"
"442"	207	"IPI:IPI00219426.1"	"PVR"	"Isoform Gamma of Poliovirus receptor precursor"
"443"	207	"IPI:IPI00219425.3"	"PVR"	"Isoform Beta of Poliovirus receptor precursor"
"444"	208	"IPI:IPI00657860.1"	"BST1"	"Uncharacterized protein BST1"
"445"	208	"IPI:IPI00026240.2"	"BST1"	"ADP-ribosyl cyclase 2 precursor"
"446"	209	"IPI:IPI00792372.1"	"GRAP"	"Uncharacterized protein GRAP"
"447"	209	"IPI:IPI00013864.1"	"GRAP"	"GRB2-related adapter protein"
"448"	210	"IPI:IPI00872063.1"	"PEPD"	"Uncharacterized protein PEPD (Fragment)"
"449"	210	"IPI:IPI00257882.7"	"PEPD"	"Xaa-Pro dipeptidase"
"450"	211	"IPI:IPI00470652.1"	"-"	"Single-chain Fv (Fragment)"
"451"	212	"IPI:IPI00104907.3"	"C14orf106"	"Isoform 1 of Uncharacterized potential DNA-binding protein C14orf106"
"452"	213	"IPI:IPI00872759.1"	"MLL2"	"564 kDa protein"
"453"	214	"IPI:IPI00217421.1"	"PIGO"	"Isoform 1 of GPI ethanolamine phosphate transferase 3"
"454"	214	"IPI:IPI00181620.3"	"PIGO"	"Isoform 2 of GPI ethanolamine phosphate transferase 3"
"455"	215	"IPI:IPI00032087.4"	"DIP2C"	"Disco-interacting protein 2 homolog C"
"456"	216	"IPI:IPI00876888.1"	"-"	"cDNA FLJ78387"
"457"	217	"IPI:IPI00440577.3"	"IGKV2-24"	"IGKV2-24 protein"
"458"	218	"IPI:IPI00158296.4"	"KIAA0564"	"hypothetical protein LOC23078 isoform a"
"459"	219	"IPI:IPI00395602.5"	"STAC2"	"Isoform 1 of SH3 and cysteine-rich domain-containing protein 2"
"460"	220	"IPI:IPI00221235.3"	"NUP160"	"nucleoporin 160kDa"
"461"	221	"IPI:IPI00884080.1"	"-"	"Similar to Immunglobulin heavy chain variable region"
"462"	222	"IPI:IPI00006684.3"	"API5"	"58 kDa protein"
"463"	223	"IPI:IPI00793949.2"	"MARCH10"	"Probable E3 ubiquitin-protein ligase MARCH10"
"464"	224	"IPI:IPI00642378.2"	"LASS2"	"cDNA FLJ75329, highly similar to Homo sapiens LAG1 longevity assurance homolog 2 (S. cerevisiae), transcript variant 2, mRNA"
"465"	224	"IPI:IPI00305304.3"	"LASS2"	"LAG1 longevity assurance homolog 2"
"466"	225	"IPI:IPI00177820.3"	"SLC14A2"	"Urea transporter, kidney"
"467"	226	"IPI:IPI00655641.1"	"SUPT5H"	"Isoform 2 of Transcription elongation factor SPT5"
"468"	226	"IPI:IPI00298058.1"	"SUPT5H"	"Isoform 1 of Transcription elongation factor SPT5"
"469"	227	"IPI:IPI00291136.4"	"COL6A1"	"Collagen alpha-1(VI) chain precursor"
"470"	228	"IPI:IPI00852828.1"	"FEZF1"	"Isoform 3 of Fez family zinc finger protein 1"
"471"	228	"IPI:IPI00376675.5"	"FEZF1"	"Isoform 1 of Fez family zinc finger protein 1"
"472"	229	"IPI:IPI00004416.1"	"CHMP2A"	"Charged multivesicular body protein 2a"
"473"	230	"IPI:IPI00845359.1"	"CCDC73"	"Isoform 2 of Coiled-coil domain-containing protein 73"
"474"	231	"IPI:IPI00854767.1"	"LOC729269"	"similar to Protein MICAL-3"
"475"	232	"IPI:IPI00852880.1"	"SYNPO2L"	"synaptopodin 2-like isoform a"
"476"	233	"IPI:IPI00872107.1"	"ILF2"	"Interleukin enhancer binding factor 2 variant (Fragment)"
"477"	233	"IPI:IPI00005198.2"	"ILF2"	"Interleukin enhancer-binding factor 2"
"478"	234	"IPI:IPI00877862.1"	"-"	"27 kDa protein"
"479"	235	"IPI:IPI00479018.2"	"SDCBP"	"Syntenin isoform 3"
"480"	235	"IPI:IPI00478874.1"	"SDCBP"	"syntenin isoform 2"
"481"	235	"IPI:IPI00299086.3"	"SDCBP"	"Syntenin-1"
"482"	236	"IPI:IPI00332192.4"	"IL25"	"Isoform 2 of Interleukin-25 precursor"
"483"	236	"IPI:IPI00009731.1"	"IL25"	"Isoform 1 of Interleukin-25 precursor"
"484"	237	"IPI:IPI00021856.3"	"APOC2"	"Apolipoprotein C-II precursor"
"485"	238	"IPI:IPI00792333.2"	"IBTK"	"Isoform 1 of Inhibitor of Bruton tyrosine kinase"
"486"	239	"IPI:IPI00053621.7"	"ZNF99"	"zinc finger protein 99"
"487"	240	"IPI:IPI00398768.1"	"ARG1"	"Isoform 2 of Arginase-1"
"488"	240	"IPI:IPI00291560.4"	"ARG1"	"Isoform 1 of Arginase-1"
"489"	240	"IPI:IPI00038356.4"	"ARG1"	"Isoform 3 of Arginase-1"
"490"	241	"IPI:IPI00007811.1"	"CDK4"	"Cell division protein kinase 4"
"491"	242	"IPI:IPI00022465.3"	"CIT"	"Isoform 1 of Citron Rho-interacting kinase"
"492"	243	"IPI:IPI00215877.2"	"APC"	"Isoform Short of Adenomatous polyposis coli protein"
"493"	243	"IPI:IPI00012391.3"	"APC"	"Isoform Long of Adenomatous polyposis coli protein"
"494"	244	"IPI:IPI00430820.1"	"IGKV1-5"	"IGKV1-5 protein"
"495"	245	"IPI:IPI00642259.2"	"DST"	"Dystonin"
"496"	246	"IPI:IPI00398758.1"	"DCI"	"Isoform 2 of 3,2-trans-enoyl-CoA isomerase, mitochondrial precursor"
"497"	246	"IPI:IPI00300567.1"	"DCI"	"Isoform 1 of 3,2-trans-enoyl-CoA isomerase, mitochondrial precursor"
"498"	247	"IPI:IPI00025564.2"	"NLN"	"NLN protein"
"499"	248	"IPI:IPI00218820.1"	"TPM2"	"Isoform 3 of Tropomyosin beta chain"
"500"	249	"IPI:IPI00215700.1"	"NPR3"	"Isoform 2 of Atrial natriuretic peptide clearance receptor precursor"
"501"	249	"IPI:IPI00013826.2"	"NPR3"	"Isoform 1 of Atrial natriuretic peptide clearance receptor precursor"
"502"	250	"IPI:IPI00011695.8"	"PRSS2"	"Protease serine 2 isoform B"
"503"	251	"IPI:IPI00337744.1"	"SCN8A"	"Isoform 3 of Sodium channel protein type 8 subunit alpha"
"504"	251	"IPI:IPI00337743.1"	"SCN8A"	"Isoform 2 of Sodium channel protein type 8 subunit alpha"
"505"	251	"IPI:IPI00183041.1"	"SCN8A"	"Isoform 1 of Sodium channel protein type 8 subunit alpha"
"506"	252	"IPI:IPI00221389.2"	"AFF2"	"Isoform 2 of AF4/FMR2 family member 2"
"507"	252	"IPI:IPI00178914.3"	"AFF2"	"Isoform 3 of AF4/FMR2 family member 2"
"508"	252	"IPI:IPI00020903.4"	"AFF2"	"Isoform 1 of AF4/FMR2 family member 2"
"509"	253	"IPI:IPI00297646.4"	"COL1A1"	"Collagen alpha-1(I) chain precursor"
"510"	254	"IPI:IPI00745207.1"	"B3GNT2"	"45 kDa protein"
"511"	254	"IPI:IPI00257239.1"	"B3GNT2"	"Isoform 1 of UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"
"512"	254	"IPI:IPI00217345.1"	"B3GNT2"	"Isoform 2 of UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"
"513"	255	"IPI:IPI00759728.1"	"SIAE"	"Isoform 2 of Sialate O-acetylesterase precursor"
"514"	255	"IPI:IPI00010949.3"	"SIAE"	"Isoform 1 of Sialate O-acetylesterase precursor"
"515"	256	"IPI:IPI00640784.1"	"WDR90"	"WD repeat protein 90"
"516"	257	"IPI:IPI00884309.1"	"JAKMIP2"	"JAKMIP2 protein"
"517"	257	"IPI:IPI00867585.1"	"JAKMIP2"	"Isoform 3 of Janus kinase and microtubule-interacting protein 2"
"518"	257	"IPI:IPI00479428.3"	"JAKMIP2"	"Isoform 2 of Janus kinase and microtubule-interacting protein 2"
"519"	257	"IPI:IPI00059369.1"	"JAKMIP2"	"Isoform 1 of Janus kinase and microtubule-interacting protein 2"
"520"	258	"IPI:IPI00031411.3"	"FAT"	"Cadherin-related tumor suppressor homolog precursor"
"521"	259	"IPI:IPI00045550.4"	"PPP1R9B"	"protein phosphatase 1, regulatory subunit 9B"
"522"	260	"IPI:IPI00384013.5"	"GALNTL2"	"Polypeptide N-acetylgalactosaminyltransferase-like protein 2"
"523"	261	"IPI:IPI00816612.1"	"F2"	"Prothrombin (Fragment)"
"524"	262	"IPI:IPI00218414.5"	"CA2"	"Carbonic anhydrase 2"
"525"	263	"IPI:IPI00426728.3"	"MBD4"	"Isoform 2 of Methyl-CpG-binding domain protein 4"
"526"	264	"IPI:IPI00873123.1"	"NEB"	"nebulin"
