N	Accession	Gene_Symbol	Protein_Name	Unused
152	IPI00444386.3	IGFBP3	CDNA FLJ45630 fis, clone CHONS2001287, moderately similar to INSULIN- LIKE GROWTH FACTOR BINDING PROTEIN 3	0.00
153	IPI00026969.4	SEC23IP	Isoform 1 of SEC23-interacting protein	2.01
154	IPI00847179.1	APOA4	apolipoprotein A-IV precursor	2.00
155	IPI00061977.1	IGHV3OR16-13;IGHA1	IGHA1 protein	2.00
155	IPI00423462.5	IGHV3OR16-13;IGHA1	Putative uncharacterized protein DKFZp686K18196 (Fragment)	0.00
155	IPI00647704.1	IGHV3OR16-13;IGHA1	CDNA FLJ41552 fis, clone COLON2004478, highly similar to Protein Tro alpha1 H,myeloma	0.00
155	IPI00166866.3	IGHV3OR16-13;IGHA1	IGHA1 protein	0.00
155	IPI00386524.3	IGHV3OR16-13;IGHA1	CDNA FLJ25298 fis, clone STM07683, highly similar to Protein Tro alpha1 H,myeloma	0.00
156	IPI00879084.1	CP	20 kDa protein	2.00
157	IPI00423461.3	IGHA2	Putative uncharacterized protein DKFZp686C02220 (Fragment)	2.00
158	IPI00829711.1	IGHA2	Uncharacterized protein IGHA2 (Fragment)	2.00
159	IPI00871960.2	MASP1	cDNA FLJ75203, highly similar to Homo sapiens mannan-binding lectin serine protease 1 (C4/C2activating component of Ra-reactive factor) (MASP1), transcriptvariant 2, mRNA	2.00
159	IPI00290283.6	MASP1	mannan-binding lectin serine protease 1 isoform 2 precursor	0.00
159	IPI00871139.1	MASP1	92 kDa protein	0.00
159	IPI00299307.4	MASP1	Complement-activating component of Ra-reactive factor precursor	0.00
160	IPI00827486.1	-	Rheumatoid factor light chain variable region precursor (Fragment)	2.00
161	IPI00386133.1	-	Ig kappa chain V-IV region B17 precursor	2.00
161	IPI00387120.1	-	Ig kappa chain V-IV region Len	0.00
161	IPI00386132.1	-	Ig kappa chain V-IV region JI precursor	0.00
161	IPI00385143.1	-	Microfibrillar protein 2 (Fragment)	0.00
161	IPI00026197.7	IGKV4-1	Similar to Ig kappa chain V-IV region precursor	0.00
162	IPI00012792.1	CDH5	Cadherin-5 precursor	2.00
162	IPI00607725.4	CDH5	cadherin 5, type 2 isoform 2 preproprotein	0.00
163	IPI00646956.1	SELP	Selectin P	2.00
163	IPI00645234.1	SELP	Selectin P	0.00
163	IPI00644144.1	SELP	Selectin P	0.00
163	IPI00643835.1	SELP	Selectin P	0.00
163	IPI00514233.1	SELP	Selectin P	0.00
163	IPI00295339.3	SELP	P-selectin precursor	0.00
163	IPI00640405.1	SELP	Selectin P	0.00
163	IPI00514796.1	SELP	Selectin P	0.00
163	IPI00645768.1	SELE	Selectin E	0.00
163	IPI00514728.1	SELE	Selectin E	0.00
163	IPI00514521.1	SELE	Selectin E	0.00
163	IPI00514342.1	SELE	Selectin E	0.00
163	IPI00296542.1	SELE	E-selectin precursor	0.00
163	IPI00218795.1	SELL	L-selectin precursor	0.00
164	IPI00029235.1	IGFBP6	Insulin-like growth factor-binding protein 6 precursor	2.00
165	IPI00178926.2	IGJ	immunoglobulin J chain	2.00
166	IPI00029193.1	HGFAC	Hepatocyte growth factor activator precursor	2.00
167	IPI00847793.1	-	Dermcidin isoform 2	2.00
167	IPI00027547.2	DCD	Dermcidin precursor	0.00
168	IPI00642842.1	CRP	C-reactive protein, pentraxin-related	2.00
168	IPI00218876.3	CRP	Isoform 2 of C-reactive protein precursor	0.00
168	IPI00022389.1	CRP	Isoform 1 of C-reactive protein precursor	0.00
169	IPI00007199.4	SERPINA10	Protein Z-dependent protease inhibitor precursor	2.00
170	IPI00847381.1	SEPP1	selenoprotein P isoform 2	2.00
170	IPI00798100.1	SEPP1	Protein	0.00
170	IPI00029061.2	SEPP1	Selenoprotein P precursor	0.00
171	IPI00845506.1	PI16	Isoform 2 of Peptidase inhibitor 16 precursor	2.00
171	IPI00301143.5	PI16	Isoform 1 of Peptidase inhibitor 16 precursor	0.00
172	IPI00021854.1	APOA2	Apolipoprotein A-II precursor	2.00
173	IPI00025864.5	BCHE	Cholinesterase precursor	1.99
174	IPI00873123.1	NEB	nebulin	1.98
174	IPI00303335.1	NEB	Nebulin	0.00
174	IPI00743654.2	NEB	Uncharacterized protein NEB	0.00
175	IPI00871556.1	ZFYVE28	107 kDa protein	1.82
175	IPI00288918.6	ZFYVE28	Zinc finger FYVE domain-containing protein 28	0.00
176	IPI00218730.5	PDE6A	Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha	1.73
177	IPI00742698.3	C4orf23	Isoform 1 of Putative methyltransferase UPF0383	1.71
178	IPI00829626.1	IGL@	IGL@ protein	1.70
178	IPI00384399.1	-	Myosin-reactive immunoglobulin light chain variable region (Fragment)	0.00
179	IPI00440577.3	IGKV2-24	IGKV2-24 protein	1.70
179	IPI00829827.1	-	Uncharacterized protein ENSP00000374804	0.00
179	IPI00884433.1	-	13 kDa protein	0.00
179	IPI00829600.1	-	Uncharacterized protein ENSP00000374803	0.00
179	IPI00743194.2	-	Kappa light chain variable region (Fragment)	0.00
180	IPI00444272.2	LIFR	Leukemia inhibitory factor receptor precursor	1.70
181	IPI00021429.6	NR2F6	Nuclear receptor subfamily 2 group F member 6	1.70
182	IPI00873023.1	RIMS2	Isoform 3 of Regulating synaptic membrane exocytosis protein 2	1.63
182	IPI00249249.4	RIMS2	Isoform 6 of Regulating synaptic membrane exocytosis protein 2	0.00
182	IPI00339347.2	RIMS2	Isoform 2 of Regulating synaptic membrane exocytosis protein 2	0.00
182	IPI00855698.1	RIMS2	regulating synaptic membrane exocytosis 2 isoform b	0.00
182	IPI00005698.1	RIMS2	Isoform 1 of Regulating synaptic membrane exocytosis protein 2	0.00
183	IPI00397836.1	GSG2	Isoform 1 of Serine/threonine-protein kinase haspin	1.63
183	IPI00401554.1	GSG2	Isoform 2 of Serine/threonine-protein kinase haspin	0.00
184	IPI00303343.7	SCAF1	Splicing factor, arginine/serine-rich 19	1.60
185	IPI00735909.2	LOC645620	similar to Leo1, Paf1/RNA polymerase II complex component, homolog	1.59
186	IPI00401776.9	MUC6	mucin 6, gastric	1.59
187	IPI00167703.4	NAT8L	N-acetyltransferase 8-like protein	1.52
188	IPI00868938.1	-	Beta-2-microglobulin	1.52
188	IPI00796379.1	B2M	B2M protein	0.00
188	IPI00004656.2	B2M	Beta-2-microglobulin	0.00
189	IPI00029045.1	IKBKE	Inhibitor of nuclear factor kappa-B kinase subunit epsilon	1.45
190	IPI00479529.2	KIF13B	KIF13B protein	1.42
190	IPI00021753.5	KIF13B	Kinesin-like protein KIF13B	0.00
191	IPI00007128.1	PRKCG	Protein kinase C gamma type	1.42
192	IPI00790024.1	C20orf175	Isoform 1 of Uncharacterized protein C20orf175	1.42
192	IPI00168750.3	C20orf175	FLJ00360 protein (Fragment)	0.00
193	IPI00795766.2	AGRN	similar to agrin	1.38
193	IPI00374563.3	AGRN	Agrin precursor	0.00
194	IPI00306305.8	OBSL1	Obscurin-like 1 isoform A	1.35
195	IPI00375578.1	SASS6	Spindle assembly abnormal protein 6 homolog	1.32
196	IPI00844035.1	NEBL	Nebulette	1.31
196	IPI00872370.1	NEBL	117 kDa protein	0.00
197	IPI00440769.3	KCTD2	KCTD2 protein (Fragment)	1.30
198	IPI00787017.1	LOC643875	similar to calponin 3, acidic	1.30
199	IPI00872573.1	C1RL	48 kDa protein	1.28
199	IPI00795055.1	C1RL	CDNA FLJ14022 fis, clone HEMBA1003538, weakly similar to COMPLEMENT C1R COMPONENT	0.00
199	IPI00009793.3	C1RL	Complement C1r-like protein	0.00
200	IPI00748762.3	LRRK1	Isoform 1 of Leucine-rich repeat serine/threonine-protein kinase 1	1.25
200	IPI00306522.4	LRRK1	leucine-rich repeat kinase 1	0.00
201	IPI00829590.1	-	Uncharacterized protein ENSP00000375044	1.24
202	IPI00010471.5	LCP1	Plastin-2	1.24
203	IPI00180559.3	NET1	Isoform 2 of Neuroepithelial cell-transforming gene 1 protein	1.23
203	IPI00098952.2	NET1	62 kDa protein	0.00
204	IPI00749024.2	NXF1	nuclear RNA export factor 1 isoform 2	1.22
205	IPI00798412.1	UBE3B	118 kDa protein	1.19
205	IPI00470597.4	UBE3B	Isoform 1 of Ubiquitin-protein ligase E3B	0.00
206	IPI00218326.1	SP100	Isoform Sp100-C of Nuclear autoantigen Sp-100	1.18
207	IPI00789361.1	DAB2IP	Isoform 1 of Disabled homolog 2-interacting protein	1.15
208	IPI00332192.4	IL25	Isoform 2 of Interleukin-25 precursor	1.15
208	IPI00009731.1	IL25	Isoform 1 of Interleukin-25 precursor	0.00
209	IPI00848160.1	TMEM16G	Isoform 3 of Transmembrane protein 16G	1.13
209	IPI00170999.4	TMEM16G	Isoform 1 of Transmembrane protein 16G	0.00
210	IPI00102812.5	LOC126147	Putative uncharacterized protein LOC126147	1.13
211	IPI00761016.4	C7orf43	Isoform 1 of Uncharacterized protein C7orf43	1.11
212	IPI00853158.2	PRUNE2	prune homolog 2 isoform 1	1.10
213	IPI00004416.1	CHMP2A	Charged multivesicular body protein 2a	1.10
214	IPI00747810.2	FSCN1	FSCN1 protein (Fragment)	1.10
214	IPI00163187.10	FSCN1	Fascin	0.00
215	IPI00216065.3	PROZ	Isoform 2 of Vitamin K-dependent protein Z precursor	1.10
216	IPI00021033.2	COL3A1	Isoform 1 of Collagen alpha-1(III) chain precursor	1.06
217	IPI00289819.4	IGF2R	Cation-independent mannose-6-phosphate receptor precursor	1.06
218	IPI00171491.3	KCNH5	Isoform 1 of Potassium voltage-gated channel subfamily H member 5	1.05
219	IPI00186290.6	EEF2	Elongation factor 2	1.05
220	IPI00872289.1	COL4A3	159 kDa protein	1.04
220	IPI00871446.1	COL4A3	163 kDa protein	0.00
221	IPI00789181.1	PLCL1	115 kDa protein	1.01
222	IPI00884180.1	IGHM	IGHM protein	1.00
223	IPI00871561.1	MYLK3	MLCK protein	1.00
223	IPI00304648.4	MYLK3	MLCK protein	0.00
224	IPI00033349.3	PREB	Prolactin regulatory element-binding protein	1.00
225	IPI00480203.3	MICAL3	Isoform 2 of Protein MICAL-3	0.99
225	IPI00177937.5	MICAL3	Isoform 1 of Protein MICAL-3	0.00
226	IPI00216780.3	CILP2	Cartilage intermediate layer protein 2 precursor	0.99
227	IPI00032230.2	EPB41L3	Isoform A of Band 4.1-like protein 3	0.98
228	IPI00884031.1	-	IL1RL2 protein	0.96
228	IPI00795930.2	IL1RL2	Interleukin-1 receptor-like 2 precursor	0.00
229	IPI00746107.2	TRIM35	Isoform 2 of Tripartite motif-containing protein 35	0.96
230	IPI00411356.5	VPS4A	Vacuolar protein sorting-associating protein 4A	0.94
231	IPI00218465.10	PLAA	Phospholipase A-2-activating protein	0.93
232	IPI00217994.1	DST	Isoform 5 of Bullous pemphigoid antigen 1, isoforms 1/2/3/4/5/8 (Fragment)	0.93
232	IPI00008756.5	DST	Isoform 1 of Bullous pemphigoid antigen 1, isoforms 1/2/3/4/5/8 (Fragment)	0.00
233	IPI00749005.2	SYNE1	1011 kDa protein	0.91
233	IPI00386444.2	SYNE1	Isoform 1 of Nesprin-1	0.00
234	IPI00012213.1	CARD14	Caspase recruitment domain-containing protein 14	0.91
235	IPI00100041.3	L3MBTL2	Isoform 1 of Lethal	0.91
236	IPI00829979.1	-	Uncharacterized protein ENSP00000375008	0.89
236	IPI00739205.3	LOC652102	Ig heavy chain V-I region HG3 precursor	0.00
237	IPI00854629.1	OBSCN	Isoform 6 of Obscurin	0.89
238	IPI00004459.1	DIMT1L	Probable dimethyladenosine transferase	0.89
239	IPI00883991.1	HLA-DQB1	Beta chain HLA-DQ molecule (Fragment)	0.89
240	IPI00745062.1	-	Conserved hypothetical protein	0.89
241	IPI00883943.1	GRRP1	Glycine/arginine-rich protein 1	0.88
242	IPI00001580.4	FYCO1	Isoform 1 of FYVE and coiled-coil domain-containing protein 1	0.85
243	IPI00872405.1	PDE10A	Phosphodiesterase 10A1	0.83
243	IPI00297440.2	PDE10A	Isoform PDE10A1 of cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A	0.00
243	IPI00215786.3	PDE10A	3',5'-cyclic nucleotide phosphodiesterase 10A2	0.00
244	IPI00872223.1	MYH7	Rhabdomyosarcoma antigen MU-RMS-40.7A	0.82
244	IPI00025880.2	MYH7	Myosin-7	0.00
245	IPI00382710.1	-	Sorbin polypeptide	0.82
246	IPI00013438.1	IGLL1	Immunoglobulin lambda-like polypeptide 1 precursor	0.80
247	IPI00784869.3	DNAH10	dynein, axonemal, heavy chain 10 isoform 1	0.80
248	IPI00165434.4	YLPM1	YLP motif containing 1	0.80
249	IPI00299738.1	PCOLCE	Procollagen C-endopeptidase enhancer 1 precursor	0.80
250	IPI00797555.1	EIF4E3	6 kDa protein	0.80
251	IPI00472316.1	DMD	dystrophin Dp427p1 isoform	0.79
251	IPI00375141.1	DMD	dystrophin Dp427l isoform	0.00
251	IPI00304639.2	DMD	Isoform 3 of Dystrophin	0.00
251	IPI00006091.2	DMD	Isoform 4 of Dystrophin	0.00
252	IPI00028083.1	EIF2B2	Translation initiation factor eIF-2B subunit beta	0.77
253	IPI00552671.2	PLXNA1	Plexin-A1 precursor	0.77
254	IPI00384713.4	FGFR2	Fibroblast growth factor receptor 2 precursor	0.77
254	IPI00218424.3	FGFR2	Isoform 3 of Fibroblast growth factor receptor 2 precursor	0.00
255	IPI00783464.2	DNAH2	dynein heavy chain domain 3	0.76
256	IPI00383951.4	SDK1	Isoform 3 of Protein sidekick-1 precursor	0.75
257	IPI00385395.3	NUBPL	Isoform 2 of Nucleotide-binding protein-like	0.75
257	IPI00384517.2	NUBPL	Isoform 1 of Nucleotide-binding protein-like	0.00
258	IPI00549330.4	IGKV3D-15	Myosin-reactive immunoglobulin light chain variable region	0.74
259	IPI00303139.2	-	48 kDa protein	0.74
260	IPI00376496.1	GIT2	Isoform 10 of ARF GTPase-activating protein GIT2	0.74
261	IPI00739339.1	KRT126P	similar to Keratin, type II cytoskeletal 2 oral	0.73
261	IPI00736200.1	KRT126P	similar to Keratin, type II cytoskeletal 2 oral	0.00
262	IPI00217066.1	C13orf29	Uncharacterized protein C13orf29	0.72
263	IPI00446315.1	-	CDNA FLJ42255 fis, clone TKIDN2009889	0.72
264	IPI00645702.1	CTPS2	CTP synthase 2	0.70
265	IPI00414984.3	SGCE	sarcoglycan, epsilon isoform 1	0.70
266	IPI00376954.7	TAL1	SCL protein	0.70
267	IPI00068506.1	ABCF2	ATP-binding cassette, sub-family F, member 2 isoform b	0.70
267	IPI00005045.1	ABCF2	ATP-binding cassette sub-family F member 2	0.00
